items
"['B', 'C', 'I', 'L', 'M', 'N', 'P']"
"['A', 'I', 'J', 'K', 'L', 'P', 'Q']"
"['B', 'C', 'E', 'G', 'I', 'J', 'O']"
"['B', 'E', 'I', 'L', 'M', 'N', 'O']"
"['D', 'E', 'I', 'J', 'L', 'N', 'O']"
"['D', 'E', 'F', 'I', 'N', 'O', 'P']"
"['B', 'H', 'I', 'K', 'M', 'N', 'Q']"
"['D', 'K', 'L', 'N', 'O', 'P', 'Q']"
"['D', 'E', 'G', 'H', 'J', 'K', 'O']"
"['B', 'C', 'E', 'L', 'M', 'O', 'P']"
"['A', 'F', 'H', 'I', 'J', 'N', 'Q']"
"['F', 'H', 'I', 'K', 'M', 'N', 'P']"
"['B', 'D', 'G', 'J', 'L', 'M', 'N']"
"['B', 'C', 'E', 'F', 'G', 'J', 'M']"
"['C', 'G', 'H', 'J', 'N', 'O', 'P']"
"['A', 'D', 'E', 'G', 'J', 'K', 'M']"
"['C', 'G', 'J', 'L', 'N', 'O', 'Q']"
"['B', 'E', 'F', 'K', 'N', 'O', 'Q']"
"['A', 'C', 'E', 'H', 'L', 'M', 'Q']"
"['A', 'D', 'E', 'F', 'G', 'L', 'O']"
"['A', 'B', 'D', 'E', 'K', 'L', 'M']"
"['A', 'B', 'I', 'J', 'M', 'O', 'P']"
"['C', 'E', 'F', 'J', 'K', 'O', 'P']"
"['A', 'B', 'E', 'J', 'K', 'P', 'Q']"
"['B', 'E', 'H', 'I', 'L', 'O', 'P']"
"['A', 'C', 'D', 'I', 'J', 'M', 'N']"
"['A', 'C', 'D', 'E', 'G', 'M', 'P']"
"['C', 'D', 'G', 'H', 'I', 'M', 'P']"
"['B', 'E', 'H', 'J', 'L', 'N', 'O']"
"['C', 'I', 'J', 'K', 'M', 'P', 'Q']"
"['B', 'J', 'M', 'N', 'O', 'P', 'Q']"
"['A', 'E', 'F', 'G', 'M', 'P', 'Q']"
"['B', 'C', 'E', 'H', 'L', 'M', 'O']"
"['A', 'D', 'F', 'G', 'H', 'L', 'P']"
"['A', 'B', 'D', 'F', 'L', 'O', 'Q']"
"['D', 'E', 'I', 'M', 'N', 'O', 'Q']"
"['B', 'C', 'F', 'G', 'K', 'M', 'N']"
"['B', 'E', 'I', 'K', 'L', 'N', 'Q']"
"['B', 'C', 'H', 'I', 'L', 'N', 'P']"
"['B', 'E', 'F', 'H', 'J', 'N', 'O']"
"['A', 'B', 'E', 'F', 'H', 'O', 'P']"
"['G', 'H', 'L', 'M', 'N', 'O', 'Q']"
"['B', 'C', 'D', 'J', 'M', 'O', 'P']"
"['A', 'B', 'D', 'H', 'I', 'L', 'P']"
"['A', 'B', 'G', 'I', 'K', 'O', 'Q']"
"['D', 'H', 'J', 'L', 'M', 'N', 'O']"
"['A', 'C', 'E', 'G', 'I', 'K', 'P']"
"['A', 'B', 'G', 'H', 'I', 'N', 'Q']"
"['B', 'C', 'H', 'I', 'K', 'L', 'N']"
"['C', 'E', 'I', 'J', 'L', 'M', 'Q']"
"['A', 'F', 'G', 'I', 'L', 'M', 'P']"
"['D', 'E', 'H', 'I', 'K', 'M', 'P']"
"['B', 'C', 'H', 'I', 'M', 'N', 'O']"
"['E', 'F', 'G', 'H', 'J', 'O', 'P']"
"['D', 'F', 'G', 'H', 'K', 'M', 'N']"
"['C', 'H', 'I', 'J', 'K', 'P', 'Q']"
"['D', 'F', 'H', 'K', 'L', 'N', 'P']"
"['C', 'D', 'E', 'G', 'I', 'N', 'P']"
"['A', 'E', 'I', 'J', 'M', 'N', 'O']"
"['B', 'H', 'I', 'J', 'O', 'P', 'Q']"
"['I', 'K', 'L', 'M', 'N', 'P', 'Q']"
"['D', 'E', 'G', 'I', 'J', 'M', 'O']"
"['G', 'H', 'I', 'J', 'L', 'N', 'P']"
"['B', 'C', 'I', 'J', 'K', 'N', 'O']"
"['A', 'B', 'C', 'D', 'G', 'H', 'O']"
"['A', 'F', 'G', 'J', 'O', 'P', 'Q']"
"['B', 'D', 'F', 'G', 'K', 'O', 'Q']"
"['B', 'C', 'H', 'I', 'L', 'P', 'Q']"
"['D', 'H', 'I', 'J', 'L', 'M', 'P']"
"['A', 'F', 'I', 'J', 'K', 'M', 'N']"
"['B', 'G', 'H', 'J', 'M', 'P', 'Q']"
"['C', 'G', 'I', 'J', 'K', 'M', 'Q']"
"['B', 'C', 'G', 'H', 'M', 'P', 'Q']"
"['C', 'H', 'I', 'K', 'M', 'P', 'Q']"
"['C', 'G', 'H', 'J', 'K', 'M', 'Q']"
"['A', 'C', 'G', 'H', 'I', 'K', 'L']"
"['A', 'C', 'D', 'H', 'M', 'O', 'P']"
"['D', 'E', 'F', 'G', 'L', 'N', 'O']"
"['A', 'D', 'G', 'K', 'M', 'N', 'P']"
"['C', 'I', 'K', 'L', 'N', 'O', 'P']"
"['A', 'E', 'H', 'I', 'L', 'M', 'O']"
"['B', 'G', 'L', 'M', 'N', 'O', 'Q']"
"['A', 'B', 'C', 'E', 'F', 'H', 'M']"
"['B', 'F', 'G', 'K', 'M', 'P', 'Q']"
"['A', 'E', 'F', 'G', 'I', 'P', 'Q']"
"['B', 'D', 'G', 'I', 'L', 'N', 'P']"
"['A', 'F', 'G', 'H', 'J', 'L', 'Q']"
"['B', 'F', 'H', 'N', 'O', 'P', 'Q']"
"['D', 'G', 'H', 'J', 'K', 'O', 'P']"
"['D', 'E', 'F', 'G', 'M', 'O', 'Q']"
"['C', 'E', 'J', 'L', 'O', 'P', 'Q']"
"['B', 'C', 'D', 'F', 'G', 'J', 'L']"
"['C', 'E', 'H', 'I', 'M', 'N', 'P']"
"['B', 'C', 'G', 'H', 'J', 'K', 'L']"
"['B', 'C', 'G', 'I', 'L', 'N', 'P']"
"['A', 'E', 'G', 'K', 'L', 'M', 'P']"
"['A', 'D', 'H', 'J', 'K', 'O', 'P']"
"['A', 'E', 'G', 'J', 'K', 'O', 'Q']"
"['C', 'D', 'E', 'F', 'J', 'L', 'O']"
"['B', 'E', 'F', 'G', 'I', 'L', 'M']"
"['C', 'D', 'G', 'K', 'L', 'N', 'Q']"
"['C', 'D', 'K', 'L', 'M', 'O', 'Q']"
"['C', 'F', 'H', 'L', 'N', 'O', 'P']"
"['C', 'D', 'E', 'G', 'I', 'L', 'O']"
"['E', 'H', 'I', 'K', 'N', 'O', 'Q']"
"['C', 'D', 'H', 'K', 'L', 'M', 'Q']"
"['A', 'B', 'C', 'D', 'G', 'I', 'N']"
"['A', 'H', 'I', 'J', 'K', 'O', 'Q']"
"['A', 'B', 'C', 'G', 'M', 'N', 'O']"
"['B', 'E', 'G', 'H', 'J', 'O', 'P']"
"['B', 'C', 'E', 'K', 'L', 'O', 'P']"
"['A', 'D', 'H', 'I', 'L', 'O', 'P']"
"['D', 'F', 'G', 'H', 'J', 'K', 'N']"
"['B', 'C', 'G', 'J', 'K', 'M', 'Q']"
"['B', 'C', 'G', 'L', 'M', 'N', 'P']"
"['A', 'D', 'E', 'G', 'J', 'M', 'N']"
"['E', 'F', 'G', 'H', 'K', 'M', 'N']"
"['C', 'H', 'I', 'J', 'L', 'M', 'Q']"
"['A', 'G', 'H', 'J', 'K', 'M', 'Q']"
"['F', 'H', 'I', 'J', 'M', 'N', 'Q']"
"['A', 'D', 'F', 'L', 'M', 'N', 'P']"
"['A', 'B', 'D', 'H', 'J', 'M', 'Q']"
"['D', 'F', 'G', 'H', 'K', 'L', 'P']"
"['B', 'D', 'H', 'I', 'J', 'K', 'M']"
"['A', 'C', 'D', 'H', 'K', 'N', 'Q']"
"['A', 'C', 'D', 'F', 'H', 'M', 'P']"
"['C', 'E', 'F', 'H', 'I', 'K', 'N']"
"['A', 'D', 'K', 'L', 'N', 'O', 'P']"
"['A', 'B', 'F', 'H', 'L', 'N', 'P']"
"['A', 'B', 'E', 'G', 'L', 'O', 'P']"
"['B', 'D', 'H', 'K', 'L', 'M', 'P']"
"['A', 'E', 'I', 'K', 'L', 'N', 'Q']"
"['B', 'C', 'F', 'G', 'K', 'M', 'O']"
"['B', 'C', 'D', 'F', 'H', 'I', 'Q']"
"['A', 'C', 'E', 'F', 'I', 'M', 'N']"
"['A', 'C', 'J', 'K', 'M', 'N', 'O']"
"['B', 'C', 'D', 'E', 'I', 'N', 'O']"
"['D', 'G', 'J', 'K', 'M', 'P', 'Q']"
"['A', 'B', 'C', 'E', 'L', 'O', 'Q']"
"['A', 'B', 'C', 'E', 'H', 'K', 'O']"
"['D', 'H', 'I', 'K', 'L', 'O', 'Q']"
"['A', 'E', 'H', 'I', 'N', 'O', 'Q']"
"['A', 'B', 'C', 'E', 'L', 'M', 'Q']"
"['B', 'E', 'G', 'I', 'M', 'O', 'Q']"
"['D', 'F', 'G', 'H', 'N', 'O', 'P']"
"['A', 'C', 'G', 'H', 'I', 'L', 'M']"
"['B', 'C', 'D', 'G', 'J', 'L', 'N']"
"['B', 'D', 'E', 'H', 'I', 'J', 'Q']"
"['B', 'C', 'G', 'J', 'K', 'O', 'P']"
"['B', 'E', 'H', 'K', 'M', 'N', 'P']"
"['A', 'G', 'I', 'J', 'K', 'M', 'O']"
"['C', 'D', 'E', 'G', 'I', 'O', 'Q']"
"['B', 'D', 'E', 'K', 'M', 'N', 'O']"
"['D', 'E', 'F', 'G', 'I', 'L', 'M']"
"['B', 'C', 'F', 'H', 'I', 'L', 'N']"
"['B', 'C', 'G', 'H', 'I', 'L', 'P']"
"['A', 'C', 'D', 'G', 'H', 'L', 'M']"
"['A', 'B', 'D', 'H', 'J', 'N', 'P']"
"['A', 'H', 'I', 'K', 'L', 'M', 'N']"
"['B', 'E', 'F', 'G', 'I', 'K', 'O']"
"['A', 'F', 'G', 'K', 'N', 'O', 'Q']"
"['B', 'E', 'G', 'J', 'L', 'P', 'Q']"
"['B', 'D', 'E', 'J', 'N', 'O', 'P']"
"['B', 'E', 'G', 'I', 'J', 'M', 'Q']"
"['B', 'D', 'E', 'H', 'J', 'L', 'O']"
"['B', 'C', 'F', 'K', 'M', 'P', 'Q']"
"['B', 'C', 'F', 'I', 'K', 'M', 'P']"
"['C', 'G', 'H', 'K', 'N', 'O', 'P']"
"['C', 'E', 'F', 'J', 'L', 'N', 'Q']"
"['A', 'B', 'E', 'H', 'I', 'L', 'N']"
"['A', 'B', 'F', 'J', 'K', 'L', 'M']"
"['A', 'E', 'G', 'M', 'N', 'O', 'P']"
"['B', 'D', 'E', 'F', 'G', 'H', 'I']"
"['A', 'B', 'C', 'D', 'F', 'G', 'Q']"
"['A', 'D', 'K', 'L', 'M', 'N', 'Q']"
"['C', 'D', 'E', 'G', 'J', 'N', 'P']"
"['B', 'E', 'F', 'J', 'K', 'L', 'P']"
"['A', 'B', 'E', 'G', 'N', 'O', 'P']"
"['E', 'F', 'I', 'L', 'M', 'O', 'P']"
"['A', 'E', 'J', 'K', 'L', 'M', 'N']"
"['C', 'E', 'F', 'G', 'J', 'L', 'M']"
"['A', 'B', 'E', 'I', 'L', 'M', 'N']"
"['D', 'F', 'G', 'I', 'L', 'N', 'O']"
"['A', 'B', 'D', 'F', 'K', 'L', 'P']"
"['A', 'C', 'H', 'I', 'K', 'N', 'O']"
"['B', 'C', 'H', 'J', 'L', 'M', 'P']"
"['B', 'C', 'D', 'L', 'N', 'O', 'Q']"
"['C', 'G', 'J', 'K', 'M', 'O', 'Q']"
"['C', 'D', 'G', 'J', 'M', 'N', 'P']"
"['A', 'F', 'H', 'L', 'M', 'N', 'O']"
"['A', 'B', 'C', 'D', 'G', 'H', 'N']"
"['B', 'C', 'D', 'F', 'H', 'K', 'M']"
"['A', 'C', 'H', 'I', 'L', 'N', 'Q']"
"['A', 'C', 'E', 'F', 'G', 'J', 'Q']"
"['A', 'D', 'E', 'F', 'G', 'K', 'P']"
"['A', 'C', 'F', 'J', 'K', 'L', 'M']"
"['A', 'D', 'F', 'G', 'H', 'K', 'L']"
"['B', 'C', 'E', 'G', 'H', 'M', 'Q']"
"['B', 'C', 'E', 'F', 'K', 'N', 'O']"
"['A', 'B', 'C', 'D', 'I', 'K', 'N']"
"['C', 'D', 'E', 'J', 'K', 'L', 'N']"
"['A', 'E', 'I', 'M', 'O', 'P', 'Q']"
"['B', 'C', 'D', 'G', 'K', 'M', 'N']"
"['C', 'E', 'F', 'G', 'I', 'K', 'P']"
"['C', 'E', 'F', 'J', 'K', 'L', 'Q']"
"['A', 'F', 'K', 'L', 'M', 'O', 'P']"
"['A', 'B', 'C', 'H', 'J', 'K', 'P']"
"['B', 'C', 'D', 'F', 'I', 'K', 'N']"
"['A', 'C', 'D', 'I', 'L', 'M', 'N']"
"['F', 'I', 'J', 'K', 'N', 'P', 'Q']"
"['D', 'E', 'F', 'G', 'H', 'J', 'L']"
"['A', 'C', 'I', 'J', 'K', 'N', 'P']"
"['C', 'E', 'G', 'H', 'I', 'J', 'N']"
"['B', 'F', 'G', 'I', 'L', 'M', 'Q']"
"['B', 'E', 'G', 'L', 'M', 'P', 'Q']"
"['D', 'E', 'G', 'J', 'K', 'M', 'O']"
"['A', 'D', 'F', 'H', 'K', 'L', 'O']"
"['A', 'C', 'G', 'I', 'K', 'L', 'N']"
"['E', 'H', 'K', 'L', 'M', 'P', 'Q']"
"['E', 'J', 'L', 'N', 'O', 'P', 'Q']"
"['H', 'I', 'J', 'K', 'N', 'O', 'P']"
"['B', 'C', 'E', 'F', 'J', 'O', 'P']"
"['C', 'G', 'I', 'K', 'L', 'M', 'N']"
"['D', 'F', 'H', 'J', 'L', 'P', 'Q']"
"['D', 'I', 'J', 'K', 'L', 'N', 'P']"
"['A', 'D', 'E', 'H', 'L', 'M', 'P']"
"['A', 'C', 'D', 'K', 'L', 'N', 'P']"
"['B', 'C', 'H', 'K', 'L', 'O', 'Q']"
"['A', 'B', 'E', 'G', 'H', 'L', 'Q']"
"['A', 'E', 'G', 'I', 'N', 'P', 'Q']"
"['A', 'C', 'F', 'J', 'K', 'L', 'P']"
"['B', 'D', 'F', 'H', 'K', 'M', 'N']"
"['B', 'E', 'F', 'I', 'J', 'P', 'Q']"
"['A', 'B', 'G', 'H', 'N', 'O', 'P']"
"['A', 'E', 'G', 'L', 'O', 'P', 'Q']"
"['B', 'F', 'G', 'H', 'I', 'J', 'Q']"
"['A', 'C', 'F', 'H', 'J', 'P', 'Q']"
"['A', 'C', 'E', 'H', 'J', 'N', 'O']"
"['A', 'B', 'D', 'F', 'K', 'L', 'O']"
"['A', 'B', 'E', 'K', 'N', 'O', 'P']"
"['A', 'D', 'F', 'H', 'J', 'L', 'N']"
"['A', 'B', 'I', 'J', 'L', 'N', 'Q']"
"['B', 'C', 'E', 'G', 'J', 'L', 'M']"
"['B', 'E', 'F', 'G', 'H', 'J', 'N']"
"['A', 'B', 'D', 'F', 'G', 'I', 'O']"
"['B', 'D', 'E', 'F', 'G', 'L', 'P']"
"['B', 'D', 'E', 'I', 'J', 'M', 'O']"
"['C', 'D', 'I', 'J', 'M', 'O', 'P']"
"['A', 'G', 'H', 'K', 'L', 'M', 'O']"
"['H', 'I', 'J', 'K', 'L', 'O', 'P']"
"['B', 'C', 'H', 'I', 'J', 'M', 'O']"
"['F', 'J', 'L', 'M', 'N', 'O', 'P']"
"['D', 'E', 'K', 'M', 'N', 'P', 'Q']"
"['B', 'C', 'E', 'G', 'I', 'K', 'N']"
"['D', 'E', 'J', 'K', 'N', 'P', 'Q']"
"['B', 'F', 'G', 'I', 'N', 'P', 'Q']"
"['A', 'B', 'C', 'D', 'H', 'N', 'Q']"
"['A', 'E', 'F', 'G', 'H', 'K', 'M']"
"['B', 'D', 'K', 'M', 'O', 'P', 'Q']"
"['C', 'G', 'H', 'J', 'K', 'L', 'N']"
"['C', 'E', 'F', 'K', 'L', 'N', 'O']"
"['C', 'D', 'G', 'K', 'L', 'N', 'O']"
"['A', 'D', 'F', 'M', 'O', 'P', 'Q']"
"['C', 'D', 'F', 'G', 'H', 'J', 'K']"
"['F', 'H', 'K', 'L', 'M', 'O', 'Q']"
"['A', 'B', 'F', 'G', 'J', 'N', 'Q']"
"['A', 'D', 'E', 'F', 'J', 'P', 'Q']"
"['D', 'I', 'J', 'K', 'L', 'N', 'Q']"
"['E', 'H', 'J', 'L', 'M', 'P', 'Q']"
"['D', 'G', 'J', 'L', 'N', 'O', 'Q']"
"['A', 'C', 'D', 'E', 'J', 'N', 'P']"
"['C', 'E', 'F', 'I', 'J', 'K', 'P']"
"['D', 'E', 'F', 'H', 'I', 'O', 'P']"
"['A', 'C', 'D', 'I', 'L', 'M', 'P']"
"['A', 'G', 'H', 'I', 'O', 'P', 'Q']"
"['B', 'C', 'G', 'I', 'L', 'O', 'P']"
"['C', 'F', 'H', 'K', 'N', 'O', 'Q']"
"['A', 'C', 'D', 'G', 'J', 'N', 'O']"
"['A', 'C', 'G', 'I', 'M', 'N', 'O']"
"['B', 'E', 'I', 'J', 'K', 'N', 'Q']"
"['B', 'H', 'J', 'K', 'L', 'O', 'Q']"
"['A', 'I', 'J', 'K', 'M', 'P', 'Q']"
"['A', 'E', 'F', 'I', 'K', 'P', 'Q']"
"['C', 'E', 'F', 'J', 'M', 'P', 'Q']"
"['B', 'D', 'F', 'K', 'L', 'M', 'Q']"
"['C', 'E', 'H', 'J', 'L', 'M', 'N']"
"['A', 'C', 'F', 'L', 'M', 'P', 'Q']"
"['A', 'B', 'D', 'G', 'M', 'O', 'Q']"
"['B', 'C', 'J', 'M', 'N', 'O', 'Q']"
"['G', 'I', 'J', 'L', 'M', 'O', 'Q']"
"['A', 'C', 'D', 'F', 'G', 'L', 'P']"
"['B', 'C', 'F', 'H', 'I', 'J', 'K']"
"['B', 'E', 'I', 'J', 'M', 'P', 'Q']"
"['A', 'C', 'E', 'F', 'J', 'L', 'O']"
"['B', 'C', 'D', 'G', 'K', 'N', 'O']"
"['C', 'E', 'I', 'K', 'L', 'P', 'Q']"
"['A', 'B', 'C', 'E', 'G', 'K', 'L']"
"['B', 'D', 'H', 'K', 'L', 'P', 'Q']"
"['D', 'E', 'G', 'H', 'L', 'M', 'P']"
"['B', 'C', 'E', 'J', 'K', 'L', 'Q']"
"['B', 'C', 'D', 'F', 'I', 'J', 'K']"
"['B', 'I', 'K', 'L', 'M', 'N', 'P']"
"['E', 'F', 'H', 'L', 'M', 'N', 'O']"
"['B', 'D', 'K', 'L', 'M', 'P', 'Q']"
"['A', 'D', 'E', 'K', 'L', 'M', 'N']"
"['A', 'D', 'E', 'F', 'G', 'N', 'O']"
"['E', 'G', 'H', 'K', 'M', 'P', 'Q']"
"['A', 'E', 'H', 'I', 'K', 'L', 'M']"
"['A', 'D', 'E', 'H', 'N', 'O', 'Q']"
"['D', 'H', 'I', 'K', 'L', 'M', 'N']"
"['A', 'B', 'I', 'K', 'N', 'O', 'Q']"
"['G', 'J', 'L', 'M', 'O', 'P', 'Q']"
"['D', 'E', 'F', 'G', 'J', 'O', 'P']"
"['C', 'E', 'F', 'I', 'L', 'O', 'Q']"
"['C', 'D', 'E', 'K', 'M', 'N', 'O']"
"['A', 'E', 'G', 'M', 'N', 'P', 'Q']"
"['B', 'F', 'G', 'J', 'L', 'N', 'P']"
"['C', 'G', 'H', 'J', 'K', 'P', 'Q']"
"['A', 'C', 'F', 'G', 'H', 'K', 'Q']"
"['D', 'F', 'G', 'I', 'J', 'O', 'P']"
"['C', 'E', 'F', 'G', 'H', 'K', 'L']"
"['B', 'C', 'D', 'G', 'H', 'K', 'N']"
"['A', 'C', 'F', 'I', 'K', 'L', 'Q']"
"['D', 'E', 'F', 'M', 'N', 'P', 'Q']"
"['B', 'C', 'D', 'H', 'I', 'O', 'Q']"
"['A', 'B', 'E', 'H', 'L', 'N', 'P']"
"['A', 'D', 'E', 'F', 'G', 'P', 'Q']"
"['D', 'F', 'G', 'H', 'I', 'J', 'P']"
"['A', 'C', 'E', 'F', 'H', 'N', 'P']"
"['B', 'C', 'D', 'E', 'H', 'I', 'O']"
"['D', 'F', 'G', 'K', 'L', 'M', 'P']"
"['H', 'J', 'K', 'L', 'M', 'O', 'P']"
"['A', 'E', 'F', 'H', 'I', 'L', 'N']"
"['A', 'B', 'E', 'F', 'L', 'M', 'P']"
"['A', 'C', 'D', 'L', 'M', 'O', 'P']"
"['B', 'E', 'F', 'H', 'K', 'P', 'Q']"
"['A', 'F', 'H', 'I', 'M', 'O', 'Q']"
"['A', 'C', 'I', 'J', 'K', 'M', 'N']"
"['F', 'H', 'I', 'M', 'O', 'P', 'Q']"
"['A', 'C', 'D', 'E', 'H', 'K', 'N']"
"['A', 'G', 'J', 'K', 'M', 'P', 'Q']"
"['A', 'D', 'G', 'H', 'J', 'P', 'Q']"
"['B', 'C', 'D', 'K', 'L', 'N', 'O']"
"['A', 'C', 'D', 'E', 'H', 'I', 'N']"
"['A', 'H', 'I', 'K', 'M', 'P', 'Q']"
"['A', 'E', 'F', 'G', 'J', 'L', 'N']"
"['B', 'C', 'E', 'F', 'N', 'O', 'Q']"
"['C', 'D', 'G', 'I', 'L', 'O', 'Q']"
"['A', 'B', 'C', 'E', 'I', 'L', 'M']"
"['D', 'G', 'I', 'J', 'K', 'M', 'O']"
"['C', 'G', 'I', 'L', 'M', 'N', 'O']"
"['A', 'D', 'F', 'G', 'I', 'K', 'L']"
"['C', 'E', 'F', 'G', 'I', 'K', 'O']"
"['A', 'D', 'F', 'G', 'O', 'P', 'Q']"
"['A', 'B', 'D', 'E', 'F', 'I', 'J']"
"['A', 'D', 'I', 'J', 'M', 'N', 'Q']"
"['C', 'D', 'G', 'H', 'J', 'K', 'N']"
"['A', 'B', 'D', 'L', 'M', 'N', 'Q']"
"['B', 'E', 'G', 'K', 'L', 'O', 'Q']"
"['B', 'C', 'G', 'I', 'J', 'K', 'N']"
"['A', 'B', 'I', 'K', 'M', 'O', 'Q']"
"['B', 'C', 'D', 'E', 'J', 'K', 'Q']"
"['A', 'C', 'F', 'J', 'K', 'O', 'P']"
"['F', 'G', 'H', 'K', 'M', 'O', 'P']"
"['C', 'G', 'H', 'J', 'L', 'N', 'P']"
"['B', 'C', 'J', 'K', 'M', 'O', 'P']"
"['D', 'E', 'G', 'H', 'J', 'K', 'L']"
"['B', 'J', 'L', 'M', 'N', 'O', 'Q']"
"['B', 'G', 'K', 'M', 'O', 'P', 'Q']"
"['A', 'E', 'G', 'J', 'M', 'N', 'P']"
"['A', 'H', 'J', 'K', 'L', 'M', 'Q']"
"['A', 'B', 'C', 'D', 'J', 'M', 'N']"
"['A', 'B', 'C', 'J', 'L', 'O', 'Q']"
"['A', 'B', 'C', 'H', 'N', 'O', 'Q']"
"['A', 'E', 'F', 'I', 'J', 'O', 'P']"
"['B', 'D', 'I', 'J', 'M', 'N', 'O']"
"['E', 'F', 'G', 'K', 'L', 'M', 'O']"
"['C', 'D', 'H', 'I', 'L', 'M', 'P']"
"['C', 'D', 'E', 'G', 'H', 'I', 'M']"
"['D', 'E', 'I', 'L', 'N', 'P', 'Q']"
"['A', 'D', 'E', 'K', 'L', 'N', 'P']"
"['B', 'G', 'H', 'J', 'M', 'N', 'Q']"
"['B', 'F', 'G', 'H', 'L', 'M', 'Q']"
"['B', 'H', 'I', 'K', 'L', 'M', 'N']"
"['A', 'B', 'D', 'G', 'H', 'L', 'Q']"
"['B', 'D', 'F', 'H', 'M', 'O', 'P']"
"['E', 'F', 'G', 'J', 'K', 'M', 'N']"
"['D', 'I', 'J', 'K', 'L', 'O', 'P']"
"['B', 'C', 'E', 'F', 'G', 'J', 'N']"
"['B', 'D', 'F', 'J', 'L', 'M', 'O']"
"['A', 'B', 'E', 'F', 'J', 'N', 'Q']"
"['A', 'B', 'E', 'G', 'J', 'N', 'Q']"
"['A', 'D', 'E', 'L', 'M', 'O', 'Q']"
"['B', 'D', 'H', 'I', 'L', 'O', 'P']"
"['A', 'F', 'H', 'I', 'J', 'L', 'N']"
"['C', 'D', 'F', 'H', 'L', 'N', 'P']"
"['A', 'B', 'C', 'J', 'M', 'N', 'P']"
"['A', 'B', 'C', 'E', 'G', 'L', 'P']"
"['C', 'G', 'H', 'K', 'M', 'N', 'P']"
"['F', 'G', 'I', 'J', 'L', 'M', 'N']"
"['B', 'E', 'H', 'I', 'M', 'P', 'Q']"
"['A', 'I', 'J', 'N', 'O', 'P', 'Q']"
"['A', 'B', 'C', 'E', 'J', 'M', 'N']"
"['A', 'D', 'E', 'H', 'I', 'L', 'N']"
"['A', 'D', 'G', 'J', 'K', 'N', 'P']"
"['A', 'H', 'I', 'J', 'L', 'N', 'O']"
"['C', 'D', 'E', 'J', 'K', 'N', 'P']"
"['D', 'F', 'G', 'J', 'L', 'P', 'Q']"
"['A', 'C', 'E', 'H', 'I', 'N', 'P']"
"['B', 'C', 'D', 'F', 'H', 'I', 'O']"
"['C', 'D', 'E', 'I', 'J', 'L', 'M']"
"['B', 'E', 'J', 'L', 'N', 'O', 'Q']"
"['B', 'C', 'G', 'H', 'I', 'J', 'Q']"
"['A', 'B', 'C', 'F', 'K', 'O', 'P']"
"['A', 'B', 'F', 'L', 'M', 'O', 'P']"
"['C', 'F', 'J', 'L', 'M', 'N', 'O']"
"['A', 'D', 'K', 'L', 'N', 'P', 'Q']"
"['C', 'F', 'G', 'H', 'L', 'M', 'N']"
"['B', 'D', 'F', 'H', 'L', 'N', 'O']"
"['A', 'B', 'I', 'K', 'L', 'N', 'Q']"
"['A', 'D', 'F', 'H', 'I', 'J', 'K']"
"['A', 'B', 'H', 'I', 'L', 'M', 'N']"
"['A', 'B', 'E', 'F', 'H', 'I', 'Q']"
"['B', 'D', 'F', 'I', 'K', 'M', 'Q']"
"['A', 'C', 'I', 'N', 'O', 'P', 'Q']"
"['C', 'F', 'G', 'I', 'J', 'N', 'P']"
"['D', 'E', 'F', 'H', 'L', 'P', 'Q']"
"['C', 'G', 'H', 'K', 'N', 'O', 'Q']"
"['A', 'D', 'F', 'G', 'K', 'L', 'O']"
"['A', 'B', 'C', 'I', 'M', 'O', 'P']"
"['A', 'B', 'C', 'G', 'J', 'L', 'O']"
"['B', 'C', 'D', 'M', 'O', 'P', 'Q']"
"['A', 'D', 'E', 'H', 'J', 'N', 'Q']"
"['C', 'D', 'H', 'J', 'L', 'M', 'Q']"
"['C', 'J', 'K', 'L', 'N', 'P', 'Q']"
"['D', 'F', 'H', 'I', 'K', 'O', 'Q']"
"['A', 'B', 'G', 'H', 'O', 'P', 'Q']"
"['B', 'E', 'F', 'M', 'N', 'P', 'Q']"
"['A', 'B', 'D', 'H', 'I', 'O', 'Q']"
"['H', 'J', 'K', 'M', 'N', 'P', 'Q']"
"['A', 'D', 'H', 'I', 'K', 'P', 'Q']"
"['A', 'D', 'E', 'F', 'G', 'I', 'K']"
"['A', 'D', 'E', 'I', 'L', 'N', 'P']"
"['B', 'C', 'E', 'J', 'L', 'O', 'P']"
"['B', 'F', 'I', 'J', 'K', 'N', 'O']"
"['A', 'B', 'E', 'F', 'I', 'J', 'L']"
"['E', 'G', 'H', 'K', 'L', 'N', 'P']"
"['A', 'C', 'D', 'E', 'G', 'J', 'K']"
"['C', 'D', 'G', 'J', 'L', 'M', 'Q']"
"['E', 'H', 'K', 'L', 'M', 'N', 'P']"
"['A', 'C', 'F', 'L', 'N', 'O', 'P']"
"['C', 'D', 'I', 'J', 'K', 'O', 'Q']"
"['A', 'F', 'J', 'L', 'N', 'O', 'Q']"
"['F', 'G', 'H', 'L', 'N', 'O', 'P']"
"['B', 'D', 'G', 'J', 'L', 'O', 'Q']"
"['A', 'D', 'E', 'F', 'H', 'L', 'P']"
"['A', 'D', 'H', 'L', 'M', 'O', 'Q']"
"['A', 'B', 'C', 'E', 'I', 'J', 'P']"
"['A', 'B', 'C', 'D', 'F', 'G', 'J']"
"['A', 'D', 'E', 'J', 'K', 'M', 'O']"
