items
"['B', 'D', 'F', 'I', 'K', 'N']"
"['F', 'G', 'I', 'L', 'N', 'P']"
"['B', 'D', 'E', 'M', 'P', 'Q']"
"['A', 'G', 'I', 'J', 'L', 'Q']"
"['A', 'D', 'E', 'M', 'P', 'Q']"
"['C', 'D', 'E', 'F', 'K', 'N']"
"['A', 'C', 'E', 'K', 'M', 'Q']"
"['A', 'C', 'F', 'L', 'N', 'O']"
"['C', 'E', 'F', 'G', 'P', 'Q']"
"['B', 'D', 'E', 'O', 'P', 'Q']"
"['A', 'E', 'F', 'G', 'H', 'M']"
"['B', 'D', 'F', 'G', 'O', 'P']"
"['D', 'H', 'J', 'L', 'N', 'O']"
"['A', 'B', 'D', 'E', 'N', 'P']"
"['B', 'F', 'G', 'J', 'O', 'Q']"
"['C', 'F', 'J', 'L', 'M', 'N']"
"['B', 'C', 'E', 'J', 'L', 'M']"
"['B', 'I', 'M', 'O', 'P', 'Q']"
"['A', 'B', 'E', 'H', 'J', 'K']"
"['G', 'J', 'K', 'L', 'P', 'Q']"
"['C', 'E', 'I', 'K', 'N', 'O']"
"['H', 'I', 'K', 'L', 'M', 'Q']"
"['B', 'E', 'F', 'G', 'N', 'P']"
"['A', 'C', 'E', 'F', 'K', 'M']"
"['B', 'D', 'E', 'L', 'O', 'Q']"
"['G', 'I', 'L', 'M', 'N', 'Q']"
"['A', 'C', 'H', 'I', 'K', 'O']"
"['D', 'E', 'H', 'J', 'K', 'L']"
"['C', 'G', 'I', 'M', 'N', 'O']"
"['B', 'D', 'G', 'I', 'L', 'N']"
"['G', 'H', 'J', 'K', 'L', 'Q']"
"['A', 'B', 'D', 'F', 'I', 'P']"
"['C', 'F', 'H', 'L', 'M', 'O']"
"['A', 'C', 'F', 'I', 'L', 'Q']"
"['D', 'F', 'G', 'I', 'J', 'L']"
"['B', 'E', 'F', 'H', 'K', 'Q']"
"['F', 'G', 'I', 'L', 'M', 'Q']"
"['E', 'G', 'H', 'J', 'M', 'P']"
"['D', 'F', 'G', 'L', 'O', 'Q']"
"['D', 'F', 'G', 'J', 'N', 'P']"
"['B', 'F', 'G', 'I', 'M', 'N']"
"['A', 'B', 'D', 'G', 'I', 'N']"
"['A', 'D', 'H', 'J', 'K', 'M']"
"['B', 'D', 'H', 'I', 'J', 'P']"
"['A', 'B', 'E', 'L', 'N', 'O']"
"['A', 'D', 'E', 'G', 'I', 'N']"
"['A', 'B', 'H', 'L', 'M', 'O']"
"['A', 'C', 'E', 'I', 'P', 'Q']"
"['D', 'I', 'K', 'O', 'P', 'Q']"
"['D', 'E', 'F', 'G', 'L', 'O']"
"['B', 'C', 'I', 'J', 'K', 'Q']"
"['A', 'C', 'D', 'F', 'M', 'Q']"
"['B', 'E', 'H', 'I', 'P', 'Q']"
"['F', 'G', 'H', 'I', 'O', 'Q']"
"['D', 'F', 'J', 'L', 'N', 'Q']"
"['E', 'I', 'J', 'M', 'N', 'Q']"
"['C', 'G', 'H', 'J', 'L', 'P']"
"['A', 'E', 'I', 'M', 'P', 'Q']"
"['G', 'H', 'I', 'K', 'O', 'P']"
"['A', 'D', 'I', 'L', 'P', 'Q']"
"['E', 'G', 'I', 'M', 'N', 'P']"
"['E', 'F', 'G', 'J', 'K', 'L']"
"['A', 'D', 'E', 'I', 'N', 'O']"
"['C', 'H', 'I', 'K', 'O', 'P']"
"['D', 'J', 'K', 'L', 'O', 'Q']"
"['C', 'I', 'J', 'K', 'L', 'N']"
"['E', 'F', 'G', 'H', 'M', 'P']"
"['F', 'G', 'I', 'K', 'M', 'O']"
"['A', 'C', 'M', 'N', 'O', 'Q']"
"['E', 'G', 'K', 'M', 'O', 'P']"
"['D', 'I', 'J', 'M', 'N', 'O']"
"['B', 'I', 'L', 'N', 'P', 'Q']"
"['B', 'C', 'D', 'E', 'H', 'M']"
"['E', 'H', 'I', 'N', 'O', 'Q']"
"['E', 'F', 'G', 'H', 'J', 'M']"
"['B', 'C', 'F', 'J', 'N', 'O']"
"['B', 'C', 'G', 'K', 'N', 'Q']"
"['B', 'E', 'G', 'H', 'I', 'Q']"
"['G', 'K', 'L', 'M', 'N', 'P']"
"['A', 'C', 'G', 'H', 'J', 'L']"
"['A', 'F', 'G', 'H', 'L', 'N']"
"['F', 'H', 'K', 'L', 'M', 'P']"
"['D', 'H', 'I', 'J', 'M', 'N']"
"['C', 'H', 'I', 'K', 'N', 'P']"
"['F', 'G', 'I', 'J', 'M', 'P']"
"['B', 'G', 'L', 'N', 'P', 'Q']"
"['A', 'B', 'F', 'I', 'N', 'Q']"
"['A', 'B', 'C', 'J', 'P', 'Q']"
"['H', 'I', 'J', 'K', 'L', 'Q']"
"['C', 'E', 'H', 'J', 'L', 'P']"
"['B', 'E', 'H', 'I', 'K', 'L']"
"['B', 'C', 'D', 'I', 'J', 'Q']"
"['B', 'D', 'J', 'L', 'O', 'Q']"
"['B', 'C', 'G', 'H', 'J', 'Q']"
"['A', 'B', 'F', 'J', 'L', 'P']"
"['B', 'C', 'G', 'L', 'N', 'P']"
"['C', 'D', 'F', 'G', 'K', 'L']"
"['A', 'B', 'F', 'G', 'N', 'P']"
"['D', 'E', 'F', 'L', 'O', 'Q']"
"['A', 'C', 'D', 'H', 'L', 'Q']"
"['D', 'F', 'G', 'J', 'L', 'Q']"
"['B', 'G', 'K', 'L', 'M', 'N']"
"['B', 'E', 'L', 'M', 'P', 'Q']"
"['C', 'J', 'M', 'N', 'O', 'Q']"
"['C', 'F', 'G', 'H', 'J', 'M']"
"['A', 'F', 'J', 'K', 'L', 'O']"
"['B', 'H', 'K', 'M', 'O', 'Q']"
"['D', 'G', 'H', 'I', 'K', 'M']"
"['A', 'C', 'D', 'L', 'M', 'N']"
"['D', 'E', 'G', 'H', 'M', 'P']"
"['B', 'C', 'E', 'H', 'N', 'Q']"
"['D', 'F', 'M', 'N', 'O', 'P']"
"['C', 'G', 'J', 'K', 'O', 'P']"
"['D', 'F', 'I', 'K', 'M', 'N']"
"['B', 'D', 'E', 'L', 'P', 'Q']"
"['C', 'G', 'H', 'K', 'L', 'P']"
"['D', 'G', 'J', 'K', 'L', 'Q']"
"['A', 'C', 'H', 'I', 'O', 'P']"
"['A', 'D', 'E', 'G', 'N', 'O']"
"['B', 'H', 'J', 'K', 'O', 'P']"
"['A', 'D', 'F', 'H', 'J', 'L']"
"['C', 'H', 'J', 'K', 'M', 'P']"
"['B', 'E', 'G', 'I', 'J', 'L']"
"['B', 'E', 'F', 'I', 'N', 'Q']"
"['G', 'H', 'I', 'K', 'L', 'Q']"
"['A', 'D', 'I', 'J', 'N', 'P']"
"['D', 'E', 'J', 'K', 'P', 'Q']"
"['B', 'E', 'G', 'H', 'L', 'N']"
"['A', 'B', 'I', 'J', 'O', 'P']"
"['A', 'E', 'F', 'G', 'M', 'O']"
"['D', 'F', 'G', 'H', 'K', 'N']"
"['A', 'B', 'K', 'L', 'N', 'P']"
"['G', 'J', 'M', 'N', 'P', 'Q']"
"['B', 'F', 'G', 'H', 'I', 'P']"
"['A', 'D', 'I', 'K', 'O', 'Q']"
"['B', 'E', 'G', 'H', 'M', 'O']"
"['B', 'D', 'E', 'G', 'J', 'N']"
"['B', 'C', 'D', 'E', 'H', 'Q']"
"['E', 'G', 'H', 'I', 'L', 'Q']"
"['F', 'H', 'K', 'N', 'O', 'P']"
"['A', 'D', 'G', 'L', 'N', 'Q']"
"['A', 'F', 'H', 'J', 'L', 'Q']"
"['B', 'C', 'F', 'M', 'N', 'P']"
"['B', 'G', 'H', 'K', 'O', 'Q']"
"['B', 'E', 'F', 'G', 'H', 'M']"
"['E', 'G', 'H', 'M', 'N', 'P']"
"['F', 'G', 'I', 'L', 'N', 'Q']"
"['B', 'F', 'H', 'K', 'M', 'P']"
"['B', 'D', 'G', 'M', 'N', 'P']"
"['E', 'G', 'H', 'I', 'K', 'L']"
"['A', 'D', 'I', 'K', 'M', 'N']"
"['B', 'F', 'G', 'I', 'K', 'P']"
"['B', 'C', 'E', 'F', 'K', 'M']"
"['F', 'H', 'J', 'L', 'N', 'Q']"
"['C', 'E', 'H', 'N', 'O', 'Q']"
"['H', 'I', 'K', 'M', 'P', 'Q']"
"['B', 'D', 'K', 'M', 'N', 'O']"
"['A', 'G', 'H', 'I', 'K', 'N']"
"['B', 'I', 'K', 'N', 'P', 'Q']"
"['H', 'J', 'L', 'N', 'O', 'Q']"
"['C', 'H', 'K', 'M', 'P', 'Q']"
"['E', 'I', 'J', 'K', 'L', 'N']"
"['A', 'B', 'D', 'E', 'L', 'Q']"
"['A', 'C', 'F', 'G', 'H', 'Q']"
"['A', 'C', 'H', 'K', 'L', 'Q']"
"['B', 'E', 'J', 'K', 'L', 'Q']"
"['A', 'D', 'F', 'I', 'J', 'P']"
"['B', 'C', 'D', 'K', 'O', 'Q']"
"['A', 'C', 'E', 'J', 'L', 'M']"
"['C', 'D', 'H', 'K', 'M', 'P']"
"['E', 'F', 'I', 'K', 'L', 'O']"
"['F', 'G', 'H', 'L', 'M', 'P']"
"['C', 'F', 'H', 'I', 'J', 'P']"
"['D', 'E', 'F', 'M', 'N', 'Q']"
"['B', 'F', 'G', 'H', 'P', 'Q']"
"['F', 'I', 'K', 'L', 'O', 'Q']"
"['B', 'E', 'I', 'K', 'N', 'P']"
"['C', 'E', 'F', 'H', 'N', 'P']"
"['A', 'B', 'C', 'F', 'G', 'M']"
"['A', 'G', 'J', 'K', 'O', 'P']"
"['C', 'D', 'F', 'I', 'O', 'Q']"
"['A', 'C', 'D', 'E', 'L', 'N']"
"['A', 'E', 'F', 'K', 'M', 'N']"
"['A', 'F', 'L', 'M', 'N', 'Q']"
"['F', 'J', 'K', 'M', 'O', 'P']"
"['A', 'C', 'F', 'H', 'I', 'L']"
"['A', 'B', 'H', 'I', 'K', 'N']"
"['A', 'B', 'D', 'G', 'H', 'N']"
"['A', 'C', 'G', 'J', 'L', 'Q']"
"['D', 'G', 'J', 'L', 'N', 'Q']"
"['A', 'D', 'G', 'M', 'N', 'O']"
"['B', 'J', 'L', 'M', 'N', 'Q']"
"['F', 'G', 'K', 'L', 'M', 'P']"
"['C', 'I', 'L', 'N', 'O', 'Q']"
"['A', 'B', 'D', 'F', 'I', 'O']"
"['D', 'F', 'H', 'J', 'M', 'N']"
"['I', 'K', 'L', 'M', 'N', 'Q']"
"['F', 'H', 'I', 'M', 'P', 'Q']"
"['A', 'E', 'F', 'J', 'M', 'P']"
"['B', 'E', 'G', 'J', 'O', 'Q']"
"['C', 'F', 'J', 'K', 'M', 'Q']"
"['A', 'B', 'F', 'G', 'I', 'M']"
"['A', 'B', 'C', 'D', 'F', 'N']"
"['F', 'H', 'I', 'K', 'M', 'P']"
"['D', 'F', 'H', 'L', 'O', 'Q']"
"['H', 'J', 'M', 'N', 'O', 'Q']"
"['B', 'D', 'E', 'I', 'K', 'Q']"
"['D', 'F', 'G', 'H', 'I', 'Q']"
"['C', 'D', 'H', 'L', 'O', 'P']"
"['A', 'C', 'D', 'G', 'O', 'Q']"
"['C', 'D', 'E', 'K', 'L', 'M']"
"['A', 'B', 'C', 'L', 'N', 'O']"
"['F', 'K', 'L', 'M', 'N', 'P']"
"['B', 'E', 'J', 'K', 'N', 'O']"
"['C', 'F', 'I', 'L', 'P', 'Q']"
"['A', 'E', 'G', 'H', 'P', 'Q']"
"['A', 'C', 'E', 'F', 'J', 'M']"
"['B', 'D', 'E', 'J', 'P', 'Q']"
"['C', 'F', 'K', 'N', 'O', 'P']"
"['C', 'F', 'H', 'L', 'M', 'N']"
"['F', 'K', 'M', 'N', 'P', 'Q']"
"['A', 'D', 'J', 'N', 'O', 'P']"
"['A', 'E', 'F', 'G', 'H', 'O']"
"['B', 'C', 'H', 'M', 'N', 'O']"
"['A', 'B', 'G', 'L', 'M', 'Q']"
"['A', 'B', 'C', 'E', 'G', 'H']"
"['B', 'D', 'E', 'F', 'K', 'Q']"
"['A', 'C', 'D', 'E', 'I', 'N']"
"['A', 'D', 'G', 'J', 'K', 'O']"
"['C', 'D', 'G', 'H', 'M', 'P']"
"['B', 'C', 'D', 'E', 'F', 'L']"
"['C', 'F', 'H', 'I', 'M', 'N']"
"['A', 'C', 'D', 'J', 'N', 'Q']"
"['B', 'F', 'K', 'M', 'N', 'P']"
"['B', 'C', 'F', 'J', 'K', 'Q']"
"['E', 'G', 'I', 'O', 'P', 'Q']"
"['B', 'D', 'E', 'F', 'M', 'O']"
"['B', 'D', 'I', 'J', 'M', 'Q']"
"['A', 'B', 'I', 'N', 'O', 'P']"
"['G', 'H', 'I', 'N', 'O', 'P']"
"['A', 'B', 'E', 'L', 'M', 'P']"
"['A', 'C', 'E', 'H', 'K', 'L']"
"['E', 'I', 'K', 'M', 'N', 'Q']"
"['A', 'B', 'D', 'F', 'H', 'J']"
"['A', 'B', 'I', 'J', 'K', 'N']"
"['B', 'F', 'G', 'H', 'J', 'O']"
"['A', 'B', 'K', 'M', 'O', 'Q']"
"['B', 'D', 'E', 'G', 'I', 'J']"
"['D', 'F', 'G', 'H', 'K', 'M']"
"['A', 'C', 'H', 'K', 'M', 'P']"
"['C', 'D', 'H', 'I', 'J', 'N']"
"['A', 'D', 'E', 'G', 'I', 'Q']"
"['A', 'E', 'H', 'J', 'M', 'N']"
"['A', 'C', 'E', 'J', 'M', 'O']"
"['D', 'G', 'I', 'L', 'M', 'N']"
"['A', 'D', 'E', 'H', 'N', 'Q']"
"['E', 'F', 'I', 'K', 'M', 'N']"
"['A', 'B', 'C', 'F', 'I', 'N']"
"['C', 'I', 'J', 'L', 'P', 'Q']"
"['A', 'B', 'E', 'N', 'P', 'Q']"
"['A', 'C', 'I', 'M', 'N', 'Q']"
"['A', 'B', 'F', 'J', 'K', 'P']"
"['D', 'G', 'I', 'M', 'O', 'Q']"
"['B', 'C', 'D', 'I', 'K', 'O']"
"['C', 'J', 'K', 'L', 'M', 'O']"
"['B', 'G', 'M', 'N', 'P', 'Q']"
"['H', 'I', 'J', 'M', 'O', 'Q']"
"['F', 'G', 'H', 'O', 'P', 'Q']"
"['B', 'C', 'I', 'M', 'O', 'P']"
"['A', 'E', 'G', 'I', 'L', 'Q']"
"['B', 'D', 'E', 'G', 'H', 'I']"
"['C', 'E', 'F', 'I', 'L', 'M']"
"['A', 'F', 'G', 'H', 'J', 'L']"
"['D', 'H', 'M', 'O', 'P', 'Q']"
"['E', 'F', 'G', 'H', 'J', 'O']"
"['A', 'C', 'F', 'L', 'M', 'P']"
"['A', 'I', 'J', 'L', 'N', 'P']"
"['K', 'L', 'M', 'N', 'P', 'Q']"
"['A', 'F', 'I', 'L', 'P', 'Q']"
"['A', 'I', 'J', 'K', 'M', 'P']"
"['A', 'F', 'G', 'H', 'I', 'O']"
"['B', 'C', 'D', 'F', 'I', 'L']"
"['A', 'B', 'C', 'G', 'H', 'J']"
"['B', 'G', 'I', 'L', 'N', 'P']"
"['E', 'H', 'I', 'K', 'M', 'O']"
"['B', 'D', 'E', 'H', 'J', 'O']"
"['B', 'C', 'D', 'F', 'H', 'K']"
"['E', 'F', 'H', 'K', 'O', 'Q']"
"['C', 'J', 'L', 'M', 'O', 'P']"
"['F', 'H', 'L', 'N', 'O', 'P']"
"['C', 'G', 'H', 'I', 'O', 'P']"
"['C', 'G', 'H', 'J', 'L', 'N']"
"['A', 'F', 'G', 'H', 'J', 'P']"
"['A', 'E', 'F', 'H', 'M', 'P']"
"['B', 'E', 'F', 'G', 'K', 'N']"
"['B', 'E', 'H', 'K', 'O', 'Q']"
"['B', 'D', 'J', 'M', 'N', 'O']"
"['B', 'E', 'J', 'L', 'M', 'Q']"
"['B', 'C', 'E', 'K', 'L', 'P']"
"['B', 'E', 'F', 'J', 'M', 'N']"
"['C', 'E', 'F', 'L', 'M', 'P']"
"['A', 'E', 'K', 'L', 'O', 'Q']"
"['A', 'B', 'E', 'G', 'L', 'P']"
"['A', 'B', 'C', 'D', 'I', 'L']"
"['E', 'H', 'K', 'M', 'P', 'Q']"
"['A', 'D', 'H', 'I', 'J', 'O']"
"['A', 'B', 'F', 'I', 'N', 'P']"
"['C', 'F', 'I', 'J', 'M', 'Q']"
"['A', 'D', 'E', 'G', 'O', 'Q']"
"['C', 'D', 'E', 'F', 'G', 'P']"
"['A', 'F', 'G', 'J', 'L', 'M']"
"['A', 'C', 'E', 'K', 'O', 'Q']"
"['E', 'F', 'K', 'N', 'P', 'Q']"
"['A', 'B', 'E', 'J', 'L', 'O']"
"['B', 'D', 'E', 'F', 'L', 'P']"
"['B', 'G', 'I', 'K', 'O', 'P']"
"['D', 'F', 'H', 'K', 'P', 'Q']"
"['A', 'B', 'C', 'I', 'J', 'M']"
"['B', 'C', 'F', 'N', 'O', 'P']"
"['A', 'G', 'K', 'L', 'N', 'P']"
"['A', 'B', 'C', 'F', 'K', 'P']"
"['C', 'I', 'J', 'K', 'M', 'O']"
"['A', 'B', 'C', 'G', 'H', 'K']"
"['C', 'D', 'G', 'I', 'J', 'O']"
"['E', 'F', 'G', 'H', 'L', 'N']"
"['C', 'D', 'E', 'G', 'L', 'P']"
"['A', 'I', 'J', 'M', 'N', 'Q']"
"['A', 'C', 'I', 'L', 'M', 'N']"
"['A', 'D', 'H', 'K', 'O', 'Q']"
"['B', 'C', 'D', 'G', 'H', 'M']"
"['B', 'F', 'I', 'K', 'L', 'N']"
"['C', 'E', 'G', 'H', 'I', 'K']"
"['C', 'G', 'L', 'M', 'N', 'P']"
"['A', 'E', 'H', 'I', 'N', 'Q']"
"['D', 'E', 'J', 'K', 'N', 'O']"
"['A', 'I', 'J', 'K', 'M', 'Q']"
"['C', 'D', 'E', 'F', 'M', 'N']"
"['F', 'J', 'K', 'L', 'O', 'Q']"
"['A', 'D', 'I', 'O', 'P', 'Q']"
"['B', 'G', 'J', 'N', 'P', 'Q']"
"['C', 'E', 'G', 'I', 'M', 'O']"
"['A', 'E', 'F', 'J', 'K', 'O']"
"['A', 'C', 'D', 'H', 'K', 'Q']"
"['D', 'E', 'J', 'K', 'L', 'P']"
"['A', 'B', 'G', 'H', 'I', 'K']"
"['A', 'C', 'G', 'N', 'O', 'P']"
"['B', 'C', 'D', 'G', 'J', 'N']"
"['A', 'C', 'F', 'G', 'K', 'P']"
"['F', 'H', 'K', 'O', 'P', 'Q']"
"['B', 'D', 'F', 'I', 'N', 'Q']"
"['B', 'C', 'H', 'I', 'J', 'M']"
"['B', 'D', 'F', 'I', 'J', 'N']"
"['C', 'D', 'G', 'I', 'O', 'P']"
"['B', 'D', 'F', 'J', 'K', 'L']"
"['C', 'G', 'I', 'J', 'K', 'N']"
"['D', 'E', 'F', 'G', 'H', 'K']"
"['B', 'C', 'H', 'I', 'N', 'O']"
"['B', 'C', 'H', 'I', 'N', 'P']"
"['A', 'B', 'I', 'O', 'P', 'Q']"
"['A', 'E', 'F', 'G', 'M', 'Q']"
"['B', 'C', 'G', 'I', 'M', 'O']"
"['A', 'F', 'K', 'L', 'M', 'P']"
"['D', 'G', 'K', 'M', 'N', 'Q']"
"['C', 'E', 'F', 'I', 'J', 'M']"
"['B', 'I', 'J', 'L', 'O', 'P']"
"['B', 'C', 'F', 'J', 'O', 'P']"
"['B', 'C', 'F', 'H', 'J', 'L']"
"['D', 'G', 'H', 'I', 'M', 'Q']"
"['A', 'C', 'D', 'E', 'L', 'M']"
"['B', 'H', 'J', 'K', 'M', 'P']"
"['A', 'B', 'C', 'F', 'J', 'M']"
"['C', 'F', 'I', 'K', 'L', 'O']"
"['B', 'G', 'M', 'N', 'O', 'Q']"
"['A', 'C', 'F', 'K', 'M', 'P']"
"['A', 'J', 'K', 'M', 'P', 'Q']"
"['A', 'B', 'C', 'G', 'H', 'M']"
"['B', 'C', 'D', 'E', 'J', 'M']"
"['B', 'E', 'G', 'M', 'N', 'P']"
"['B', 'D', 'E', 'G', 'H', 'L']"
"['D', 'E', 'F', 'N', 'O', 'P']"
"['B', 'E', 'H', 'L', 'M', 'O']"
"['B', 'G', 'H', 'J', 'M', 'N']"
"['D', 'E', 'F', 'L', 'M', 'O']"
"['C', 'F', 'H', 'M', 'N', 'Q']"
"['D', 'E', 'F', 'G', 'N', 'P']"
"['F', 'G', 'I', 'L', 'M', 'O']"
"['A', 'H', 'K', 'L', 'M', 'O']"
"['D', 'E', 'G', 'K', 'L', 'N']"
"['A', 'B', 'I', 'N', 'O', 'Q']"
"['C', 'D', 'G', 'K', 'M', 'N']"
"['A', 'I', 'J', 'M', 'N', 'P']"
"['C', 'F', 'G', 'K', 'P', 'Q']"
"['B', 'C', 'H', 'I', 'K', 'M']"
"['C', 'D', 'G', 'I', 'K', 'M']"
"['F', 'I', 'J', 'M', 'O', 'Q']"
"['B', 'D', 'E', 'M', 'O', 'Q']"
"['A', 'E', 'H', 'K', 'M', 'O']"
"['A', 'B', 'D', 'G', 'N', 'O']"
"['A', 'D', 'E', 'F', 'N', 'O']"
"['C', 'K', 'L', 'M', 'N', 'Q']"
"['C', 'F', 'H', 'M', 'N', 'P']"
"['C', 'G', 'M', 'N', 'O', 'P']"
"['A', 'G', 'J', 'K', 'M', 'N']"
"['A', 'C', 'E', 'F', 'J', 'O']"
"['D', 'E', 'H', 'N', 'O', 'P']"
"['A', 'J', 'L', 'M', 'O', 'Q']"
"['B', 'F', 'J', 'N', 'O', 'Q']"
"['B', 'C', 'F', 'H', 'N', 'O']"
"['D', 'E', 'F', 'G', 'I', 'M']"
"['F', 'G', 'H', 'I', 'K', 'P']"
"['F', 'I', 'J', 'L', 'M', 'Q']"
"['F', 'H', 'I', 'J', 'L', 'P']"
"['A', 'B', 'D', 'K', 'L', 'N']"
"['E', 'G', 'H', 'J', 'L', 'N']"
"['A', 'G', 'J', 'M', 'O', 'Q']"
"['C', 'F', 'G', 'H', 'O', 'Q']"
"['G', 'K', 'M', 'N', 'O', 'Q']"
"['B', 'C', 'E', 'H', 'J', 'L']"
"['A', 'G', 'H', 'I', 'J', 'M']"
"['B', 'F', 'I', 'M', 'N', 'P']"
"['A', 'F', 'H', 'J', 'L', 'O']"
"['C', 'F', 'J', 'L', 'N', 'O']"
"['D', 'E', 'H', 'J', 'O', 'P']"
"['A', 'G', 'K', 'M', 'N', 'P']"
"['D', 'E', 'L', 'M', 'O', 'P']"
"['B', 'I', 'J', 'M', 'N', 'Q']"
"['B', 'C', 'F', 'G', 'K', 'M']"
"['A', 'J', 'K', 'L', 'M', 'N']"
"['A', 'E', 'H', 'J', 'P', 'Q']"
"['A', 'E', 'G', 'L', 'N', 'O']"
"['H', 'I', 'J', 'L', 'N', 'P']"
"['A', 'H', 'K', 'L', 'N', 'Q']"
"['A', 'B', 'H', 'L', 'N', 'O']"
"['A', 'C', 'J', 'L', 'N', 'P']"
"['A', 'B', 'G', 'H', 'I', 'L']"
"['H', 'I', 'J', 'L', 'O', 'P']"
"['C', 'F', 'H', 'L', 'N', 'O']"
"['B', 'C', 'H', 'J', 'P', 'Q']"
"['C', 'E', 'J', 'K', 'O', 'P']"
"['C', 'G', 'J', 'M', 'N', 'O']"
"['E', 'F', 'H', 'J', 'L', 'N']"
"['A', 'B', 'F', 'H', 'J', 'M']"
"['D', 'H', 'I', 'J', 'L', 'Q']"
"['B', 'D', 'G', 'H', 'L', 'N']"
"['A', 'C', 'D', 'F', 'J', 'O']"
"['A', 'C', 'D', 'G', 'K', 'L']"
"['A', 'D', 'G', 'I', 'J', 'N']"
"['G', 'K', 'L', 'N', 'P', 'Q']"
"['E', 'G', 'H', 'J', 'K', 'Q']"
"['F', 'I', 'J', 'N', 'O', 'P']"
"['A', 'B', 'E', 'F', 'G', 'Q']"
"['A', 'C', 'F', 'G', 'L', 'Q']"
"['E', 'F', 'H', 'J', 'M', 'Q']"
"['A', 'D', 'F', 'N', 'O', 'Q']"
"['A', 'B', 'F', 'J', 'L', 'M']"
"['A', 'C', 'I', 'L', 'O', 'Q']"
"['A', 'F', 'H', 'I', 'N', 'O']"
"['A', 'C', 'J', 'N', 'P', 'Q']"
"['B', 'E', 'I', 'N', 'O', 'P']"
"['A', 'C', 'I', 'K', 'N', 'Q']"
"['B', 'D', 'E', 'G', 'I', 'L']"
"['D', 'F', 'G', 'K', 'M', 'O']"
"['A', 'B', 'D', 'E', 'L', 'P']"
"['C', 'G', 'J', 'K', 'M', 'Q']"
"['A', 'B', 'C', 'D', 'F', 'M']"
"['A', 'D', 'E', 'J', 'M', 'O']"
"['A', 'D', 'F', 'H', 'L', 'M']"
"['C', 'F', 'G', 'J', 'K', 'O']"
"['C', 'F', 'I', 'J', 'K', 'M']"
"['G', 'H', 'I', 'L', 'O', 'Q']"
"['B', 'D', 'G', 'J', 'L', 'N']"
"['A', 'B', 'D', 'F', 'I', 'M']"
"['A', 'B', 'C', 'O', 'P', 'Q']"
"['B', 'D', 'E', 'H', 'K', 'N']"
"['A', 'E', 'H', 'J', 'O', 'Q']"
"['D', 'E', 'J', 'L', 'M', 'O']"
"['E', 'F', 'G', 'H', 'K', 'P']"
"['E', 'H', 'M', 'N', 'O', 'Q']"
"['F', 'I', 'K', 'L', 'M', 'N']"
"['B', 'H', 'J', 'N', 'O', 'P']"
"['B', 'E', 'G', 'H', 'M', 'N']"
"['B', 'K', 'L', 'M', 'N', 'O']"
"['A', 'B', 'C', 'F', 'L', 'Q']"
"['B', 'F', 'K', 'M', 'N', 'O']"
"['B', 'E', 'G', 'H', 'P', 'Q']"
"['E', 'F', 'H', 'K', 'O', 'P']"
"['A', 'E', 'K', 'L', 'M', 'P']"
"['D', 'F', 'H', 'N', 'O', 'Q']"
"['B', 'C', 'E', 'F', 'H', 'Q']"
"['D', 'F', 'G', 'I', 'L', 'O']"
"['C', 'D', 'F', 'G', 'J', 'Q']"
"['B', 'E', 'H', 'J', 'K', 'O']"
"['A', 'B', 'I', 'M', 'N', 'Q']"
"['C', 'E', 'H', 'I', 'K', 'O']"
"['C', 'D', 'F', 'G', 'H', 'N']"
"['D', 'E', 'G', 'H', 'P', 'Q']"
"['B', 'C', 'D', 'F', 'K', 'Q']"
"['A', 'C', 'G', 'I', 'J', 'K']"
"['E', 'H', 'I', 'J', 'N', 'Q']"
"['B', 'E', 'H', 'M', 'O', 'Q']"
"['E', 'F', 'N', 'O', 'P', 'Q']"
"['A', 'M', 'N', 'O', 'P', 'Q']"
"['A', 'G', 'I', 'M', 'N', 'P']"
"['B', 'F', 'H', 'K', 'M', 'Q']"
"['A', 'C', 'E', 'J', 'N', 'P']"
"['A', 'E', 'H', 'M', 'N', 'Q']"
"['E', 'G', 'I', 'J', 'N', 'O']"
"['E', 'H', 'I', 'K', 'L', 'N']"
"['C', 'D', 'G', 'H', 'M', 'Q']"
"['E', 'G', 'H', 'K', 'O', 'P']"
"['B', 'G', 'H', 'I', 'L', 'P']"
"['C', 'D', 'G', 'J', 'N', 'Q']"
"['A', 'C', 'F', 'I', 'O', 'P']"
"['B', 'E', 'F', 'K', 'O', 'Q']"
"['A', 'C', 'E', 'G', 'L', 'P']"
"['F', 'I', 'K', 'M', 'N', 'O']"
"['A', 'F', 'H', 'K', 'L', 'M']"
"['C', 'D', 'F', 'H', 'K', 'O']"
"['G', 'I', 'L', 'M', 'O', 'P']"
"['C', 'G', 'I', 'J', 'K', 'M']"
"['A', 'B', 'H', 'I', 'L', 'N']"
"['A', 'B', 'C', 'L', 'M', 'P']"
"['A', 'C', 'D', 'H', 'K', 'L']"
"['G', 'I', 'K', 'M', 'N', 'O']"
"['A', 'G', 'I', 'L', 'N', 'O']"
"['C', 'E', 'J', 'K', 'N', 'P']"
"['D', 'I', 'K', 'N', 'O', 'Q']"
"['B', 'C', 'D', 'K', 'L', 'O']"
"['D', 'E', 'G', 'I', 'K', 'N']"
"['E', 'H', 'J', 'N', 'P', 'Q']"
"['A', 'H', 'J', 'L', 'N', 'P']"
