items
"['B', 'L', 'P', 'Q']"
"['F', 'N', 'O', 'Q']"
"['D', 'I', 'M', 'P']"
"['A', 'D', 'I', 'Q']"
"['A', 'E', 'F', 'P']"
"['F', 'N', 'O', 'P']"
"['C', 'I', 'N', 'O']"
"['A', 'F', 'P', 'Q']"
"['E', 'J', 'K', 'M']"
"['C', 'E', 'G', 'K']"
"['D', 'I', 'O', 'Q']"
"['C', 'K', 'L', 'O']"
"['G', 'J', 'N', 'P']"
"['E', 'G', 'M', 'O']"
"['A', 'F', 'H', 'I']"
"['G', 'J', 'K', 'P']"
"['B', 'J', 'N', 'O']"
"['H', 'J', 'L', 'P']"
"['B', 'G', 'M', 'O']"
"['C', 'E', 'F', 'H']"
"['A', 'D', 'I', 'K']"
"['M', 'O', 'P', 'Q']"
"['F', 'G', 'K', 'O']"
"['G', 'M', 'P', 'Q']"
"['C', 'D', 'G', 'N']"
"['E', 'H', 'K', 'N']"
"['B', 'F', 'O', 'Q']"
"['C', 'G', 'I', 'J']"
"['D', 'E', 'I', 'L']"
"['D', 'J', 'L', 'O']"
"['F', 'G', 'I', 'K']"
"['C', 'F', 'L', 'O']"
"['C', 'L', 'M', 'O']"
"['B', 'G', 'N', 'Q']"
"['A', 'C', 'D', 'O']"
"['G', 'L', 'M', 'N']"
"['D', 'F', 'I', 'Q']"
"['G', 'K', 'N', 'P']"
"['D', 'E', 'G', 'I']"
"['E', 'I', 'N', 'Q']"
"['A', 'E', 'K', 'Q']"
"['D', 'E', 'G', 'O']"
"['D', 'H', 'K', 'N']"
"['A', 'J', 'M', 'O']"
"['D', 'J', 'O', 'P']"
"['E', 'K', 'N', 'O']"
"['A', 'B', 'E', 'J']"
"['H', 'M', 'N', 'P']"
"['C', 'E', 'F', 'I']"
"['E', 'H', 'K', 'M']"
"['A', 'K', 'O', 'P']"
"['D', 'G', 'H', 'Q']"
"['C', 'J', 'L', 'P']"
"['A', 'G', 'K', 'O']"
"['A', 'F', 'I', 'J']"
"['A', 'D', 'E', 'I']"
"['D', 'G', 'K', 'M']"
"['C', 'D', 'I', 'K']"
"['E', 'F', 'L', 'P']"
"['B', 'D', 'E', 'L']"
"['H', 'J', 'P', 'Q']"
"['C', 'D', 'F', 'P']"
"['D', 'F', 'I', 'O']"
"['C', 'D', 'G', 'H']"
"['A', 'L', 'M', 'N']"
"['F', 'I', 'M', 'Q']"
"['H', 'N', 'O', 'P']"
"['D', 'G', 'H', 'P']"
"['C', 'E', 'F', 'J']"
"['C', 'D', 'J', 'L']"
"['B', 'C', 'N', 'Q']"
"['C', 'G', 'H', 'J']"
"['A', 'B', 'J', 'N']"
"['D', 'H', 'I', 'K']"
"['A', 'D', 'I', 'J']"
"['D', 'E', 'M', 'O']"
"['C', 'H', 'K', 'N']"
"['B', 'E', 'H', 'J']"
"['F', 'H', 'K', 'Q']"
"['C', 'F', 'H', 'Q']"
"['C', 'D', 'G', 'P']"
"['D', 'H', 'P', 'Q']"
"['C', 'D', 'H', 'P']"
"['D', 'E', 'M', 'Q']"
"['C', 'H', 'I', 'M']"
"['A', 'B', 'I', 'N']"
"['B', 'I', 'M', 'P']"
"['A', 'B', 'I', 'O']"
"['A', 'E', 'G', 'L']"
"['B', 'D', 'H', 'J']"
"['D', 'H', 'L', 'P']"
"['D', 'G', 'I', 'K']"
"['F', 'G', 'J', 'P']"
"['C', 'E', 'I', 'J']"
"['M', 'N', 'O', 'Q']"
"['F', 'H', 'L', 'Q']"
"['D', 'G', 'O', 'P']"
"['B', 'G', 'H', 'K']"
"['E', 'G', 'H', 'N']"
"['E', 'I', 'K', 'Q']"
"['A', 'E', 'P', 'Q']"
"['A', 'J', 'O', 'P']"
"['C', 'D', 'O', 'P']"
"['A', 'B', 'I', 'Q']"
"['D', 'F', 'M', 'P']"
"['A', 'C', 'D', 'F']"
"['A', 'D', 'M', 'N']"
"['A', 'C', 'L', 'Q']"
"['A', 'F', 'L', 'M']"
"['A', 'D', 'E', 'G']"
"['E', 'H', 'K', 'P']"
"['C', 'G', 'L', 'O']"
"['B', 'C', 'E', 'H']"
"['D', 'E', 'F', 'N']"
"['B', 'E', 'G', 'N']"
"['C', 'D', 'F', 'H']"
"['F', 'H', 'L', 'O']"
"['A', 'E', 'H', 'Q']"
"['B', 'K', 'L', 'P']"
"['B', 'D', 'O', 'Q']"
"['G', 'J', 'M', 'Q']"
"['G', 'K', 'N', 'O']"
"['B', 'D', 'K', 'L']"
"['F', 'L', 'O', 'Q']"
"['C', 'D', 'H', 'K']"
"['C', 'D', 'O', 'Q']"
"['B', 'D', 'H', 'P']"
"['A', 'D', 'F', 'M']"
"['D', 'I', 'L', 'M']"
"['E', 'I', 'K', 'P']"
"['C', 'H', 'I', 'O']"
"['C', 'F', 'J', 'L']"
"['F', 'J', 'M', 'P']"
"['B', 'C', 'I', 'L']"
"['D', 'G', 'K', 'O']"
"['H', 'I', 'J', 'P']"
"['A', 'G', 'M', 'P']"
"['E', 'K', 'M', 'Q']"
"['C', 'E', 'K', 'Q']"
"['D', 'G', 'L', 'P']"
"['A', 'C', 'D', 'K']"
"['J', 'M', 'N', 'O']"
"['D', 'G', 'H', 'N']"
"['B', 'C', 'G', 'M']"
"['A', 'C', 'F', 'J']"
"['B', 'G', 'K', 'P']"
"['A', 'F', 'N', 'Q']"
"['C', 'J', 'K', 'O']"
"['B', 'F', 'J', 'L']"
"['F', 'L', 'M', 'O']"
"['D', 'E', 'M', 'N']"
"['B', 'E', 'H', 'O']"
"['B', 'H', 'K', 'O']"
"['B', 'C', 'D', 'I']"
"['B', 'E', 'J', 'N']"
"['B', 'K', 'M', 'Q']"
"['D', 'F', 'K', 'Q']"
"['F', 'G', 'I', 'Q']"
"['A', 'G', 'L', 'O']"
"['G', 'I', 'K', 'N']"
"['A', 'E', 'F', 'Q']"
"['L', 'M', 'O', 'Q']"
"['D', 'F', 'M', 'N']"
"['A', 'E', 'N', 'Q']"
"['A', 'C', 'G', 'Q']"
"['B', 'J', 'M', 'Q']"
"['D', 'F', 'H', 'N']"
"['E', 'J', 'L', 'P']"
"['B', 'K', 'M', 'O']"
"['A', 'H', 'K', 'O']"
"['C', 'D', 'F', 'O']"
"['C', 'G', 'J', 'L']"
"['B', 'H', 'I', 'L']"
"['H', 'K', 'L', 'N']"
"['D', 'F', 'H', 'O']"
"['D', 'F', 'H', 'M']"
"['C', 'G', 'M', 'N']"
"['D', 'F', 'J', 'L']"
"['G', 'H', 'L', 'O']"
"['B', 'C', 'I', 'P']"
"['B', 'F', 'N', 'P']"
"['J', 'O', 'P', 'Q']"
"['A', 'D', 'M', 'O']"
"['G', 'H', 'N', 'O']"
"['B', 'C', 'H', 'O']"
"['A', 'E', 'H', 'K']"
"['B', 'D', 'H', 'L']"
"['A', 'B', 'E', 'P']"
"['C', 'F', 'J', 'N']"
"['B', 'I', 'M', 'N']"
"['C', 'G', 'H', 'O']"
"['F', 'I', 'M', 'N']"
"['D', 'G', 'L', 'Q']"
"['A', 'B', 'J', 'L']"
"['K', 'L', 'P', 'Q']"
"['A', 'B', 'I', 'J']"
"['C', 'L', 'P', 'Q']"
"['A', 'F', 'I', 'M']"
"['A', 'D', 'G', 'I']"
"['D', 'J', 'P', 'Q']"
"['G', 'H', 'K', 'P']"
"['B', 'J', 'N', 'P']"
"['E', 'L', 'O', 'P']"
"['D', 'H', 'L', 'Q']"
"['B', 'C', 'G', 'O']"
"['E', 'H', 'O', 'Q']"
"['B', 'E', 'G', 'K']"
"['B', 'C', 'H', 'L']"
"['I', 'L', 'O', 'P']"
"['K', 'L', 'N', 'O']"
"['F', 'J', 'P', 'Q']"
"['C', 'G', 'I', 'K']"
"['F', 'K', 'M', 'P']"
"['B', 'E', 'K', 'M']"
"['I', 'N', 'P', 'Q']"
"['H', 'I', 'N', 'Q']"
"['A', 'J', 'M', 'N']"
"['I', 'J', 'O', 'Q']"
"['A', 'C', 'F', 'G']"
"['C', 'D', 'E', 'H']"
"['C', 'I', 'P', 'Q']"
"['D', 'J', 'L', 'M']"
"['D', 'H', 'M', 'N']"
"['F', 'J', 'O', 'P']"
"['E', 'H', 'I', 'L']"
"['E', 'M', 'N', 'P']"
"['C', 'F', 'L', 'M']"
"['C', 'E', 'I', 'Q']"
"['A', 'E', 'M', 'Q']"
"['C', 'E', 'L', 'M']"
"['G', 'I', 'J', 'N']"
"['C', 'D', 'F', 'N']"
"['B', 'D', 'J', 'Q']"
"['G', 'I', 'L', 'Q']"
"['H', 'J', 'K', 'N']"
"['C', 'G', 'I', 'O']"
"['F', 'J', 'K', 'O']"
"['A', 'D', 'E', 'F']"
"['H', 'L', 'N', 'Q']"
"['C', 'F', 'I', 'M']"
"['E', 'J', 'L', 'N']"
"['F', 'G', 'L', 'N']"
"['E', 'G', 'I', 'N']"
"['C', 'E', 'M', 'P']"
"['D', 'E', 'N', 'O']"
"['B', 'G', 'I', 'K']"
"['A', 'G', 'K', 'L']"
"['D', 'E', 'O', 'P']"
"['B', 'C', 'E', 'F']"
"['G', 'N', 'O', 'Q']"
"['A', 'B', 'J', 'Q']"
"['C', 'D', 'H', 'L']"
"['A', 'G', 'J', 'L']"
"['A', 'E', 'I', 'P']"
"['H', 'J', 'K', 'M']"
"['D', 'G', 'M', 'Q']"
"['C', 'D', 'E', 'K']"
"['E', 'F', 'M', 'N']"
"['C', 'K', 'N', 'Q']"
"['A', 'H', 'I', 'K']"
"['B', 'F', 'L', 'N']"
"['B', 'D', 'E', 'I']"
"['A', 'C', 'I', 'Q']"
"['B', 'H', 'N', 'P']"
"['B', 'F', 'M', 'Q']"
"['D', 'J', 'K', 'M']"
"['A', 'C', 'E', 'O']"
"['F', 'I', 'J', 'M']"
"['D', 'J', 'K', 'L']"
"['B', 'F', 'M', 'O']"
"['I', 'K', 'M', 'P']"
"['B', 'D', 'I', 'M']"
"['J', 'L', 'P', 'Q']"
"['B', 'D', 'E', 'N']"
"['C', 'H', 'J', 'Q']"
"['G', 'K', 'M', 'Q']"
"['A', 'B', 'E', 'Q']"
"['A', 'B', 'L', 'N']"
"['B', 'F', 'G', 'M']"
"['B', 'H', 'K', 'P']"
"['A', 'C', 'I', 'L']"
"['C', 'G', 'J', 'Q']"
"['C', 'E', 'G', 'J']"
"['B', 'C', 'D', 'L']"
"['C', 'I', 'L', 'Q']"
"['B', 'L', 'O', 'Q']"
"['A', 'F', 'M', 'P']"
"['C', 'G', 'K', 'O']"
"['B', 'G', 'J', 'P']"
"['C', 'H', 'J', 'K']"
"['B', 'F', 'H', 'L']"
"['B', 'D', 'G', 'J']"
"['D', 'H', 'K', 'O']"
"['A', 'D', 'L', 'Q']"
"['E', 'N', 'O', 'P']"
"['B', 'C', 'H', 'N']"
"['G', 'J', 'L', 'O']"
"['A', 'G', 'J', 'P']"
"['G', 'I', 'K', 'Q']"
"['G', 'L', 'N', 'Q']"
"['J', 'M', 'N', 'Q']"
"['C', 'F', 'J', 'M']"
"['C', 'F', 'I', 'J']"
"['B', 'C', 'M', 'Q']"
"['H', 'J', 'K', 'L']"
"['E', 'N', 'O', 'Q']"
"['E', 'I', 'J', 'P']"
"['H', 'K', 'L', 'Q']"
"['C', 'F', 'H', 'O']"
"['F', 'H', 'L', 'P']"
"['E', 'F', 'K', 'N']"
"['G', 'K', 'M', 'P']"
"['B', 'C', 'G', 'K']"
"['B', 'E', 'I', 'Q']"
"['B', 'D', 'H', 'K']"
"['B', 'E', 'J', 'Q']"
"['D', 'K', 'N', 'Q']"
"['A', 'D', 'L', 'N']"
"['A', 'B', 'E', 'F']"
"['K', 'L', 'N', 'P']"
"['C', 'F', 'N', 'O']"
"['A', 'C', 'G', 'N']"
"['I', 'M', 'N', 'Q']"
"['J', 'K', 'M', 'N']"
"['E', 'G', 'H', 'M']"
"['B', 'G', 'O', 'Q']"
"['G', 'H', 'N', 'P']"
"['D', 'N', 'O', 'Q']"
"['B', 'H', 'J', 'Q']"
"['B', 'C', 'D', 'N']"
"['C', 'D', 'J', 'P']"
"['B', 'G', 'I', 'J']"
"['A', 'C', 'E', 'N']"
"['D', 'G', 'I', 'O']"
"['F', 'G', 'M', 'Q']"
"['C', 'J', 'M', 'Q']"
"['B', 'D', 'G', 'P']"
"['B', 'G', 'J', 'K']"
"['C', 'F', 'N', 'Q']"
"['F', 'H', 'K', 'M']"
"['E', 'K', 'L', 'M']"
"['C', 'F', 'K', 'P']"
"['E', 'G', 'L', 'M']"
"['E', 'K', 'N', 'P']"
"['E', 'H', 'N', 'O']"
"['E', 'G', 'P', 'Q']"
"['B', 'J', 'K', 'M']"
"['B', 'E', 'F', 'G']"
"['C', 'G', 'H', 'L']"
"['A', 'D', 'J', 'O']"
"['C', 'G', 'L', 'Q']"
"['B', 'H', 'J', 'N']"
"['F', 'H', 'K', 'P']"
"['E', 'F', 'J', 'N']"
"['D', 'H', 'J', 'O']"
"['E', 'F', 'H', 'O']"
"['A', 'E', 'I', 'L']"
"['B', 'C', 'P', 'Q']"
"['B', 'C', 'D', 'K']"
"['D', 'G', 'I', 'P']"
"['A', 'J', 'M', 'Q']"
"['G', 'J', 'L', 'Q']"
"['E', 'F', 'J', 'P']"
"['B', 'D', 'G', 'I']"
"['A', 'H', 'L', 'M']"
"['C', 'E', 'H', 'I']"
"['D', 'O', 'P', 'Q']"
"['H', 'I', 'M', 'Q']"
"['B', 'E', 'F', 'M']"
"['C', 'H', 'L', 'Q']"
"['A', 'E', 'N', 'P']"
"['D', 'L', 'N', 'O']"
"['G', 'J', 'K', 'O']"
"['C', 'G', 'M', 'O']"
"['H', 'I', 'O', 'Q']"
"['A', 'B', 'G', 'O']"
"['A', 'C', 'F', 'K']"
"['A', 'E', 'G', 'H']"
"['D', 'I', 'K', 'Q']"
"['D', 'L', 'N', 'Q']"
"['F', 'G', 'K', 'P']"
"['B', 'K', 'N', 'Q']"
"['G', 'K', 'M', 'O']"
"['A', 'H', 'I', 'M']"
"['A', 'E', 'K', 'N']"
"['F', 'I', 'J', 'L']"
"['G', 'K', 'L', 'Q']"
"['E', 'I', 'K', 'M']"
"['E', 'N', 'P', 'Q']"
"['A', 'F', 'J', 'Q']"
"['A', 'I', 'N', 'O']"
"['B', 'D', 'E', 'G']"
"['A', 'F', 'K', 'Q']"
"['B', 'G', 'O', 'P']"
"['E', 'F', 'L', 'N']"
"['A', 'M', 'N', 'O']"
"['L', 'M', 'P', 'Q']"
"['G', 'H', 'K', 'Q']"
"['A', 'B', 'H', 'K']"
"['A', 'C', 'H', 'P']"
"['B', 'L', 'N', 'O']"
"['E', 'I', 'M', 'Q']"
"['A', 'G', 'O', 'P']"
"['C', 'J', 'L', 'Q']"
"['D', 'F', 'O', 'Q']"
"['A', 'F', 'H', 'K']"
"['I', 'J', 'K', 'M']"
"['F', 'H', 'J', 'P']"
"['B', 'D', 'F', 'H']"
"['J', 'L', 'O', 'Q']"
"['D', 'H', 'N', 'P']"
"['G', 'H', 'P', 'Q']"
"['F', 'I', 'J', 'N']"
"['I', 'J', 'K', 'Q']"
"['K', 'M', 'N', 'Q']"
"['C', 'D', 'E', 'G']"
"['F', 'M', 'N', 'Q']"
"['A', 'E', 'G', 'N']"
"['D', 'H', 'I', 'M']"
"['F', 'J', 'L', 'M']"
"['G', 'K', 'L', 'O']"
"['C', 'F', 'M', 'P']"
"['A', 'I', 'L', 'M']"
"['I', 'L', 'N', 'Q']"
"['F', 'I', 'L', 'P']"
"['A', 'L', 'M', 'O']"
"['C', 'D', 'M', 'O']"
"['D', 'H', 'I', 'J']"
"['I', 'J', 'M', 'Q']"
"['B', 'D', 'N', 'O']"
"['D', 'E', 'J', 'M']"
"['C', 'E', 'K', 'O']"
"['A', 'D', 'I', 'M']"
"['A', 'G', 'H', 'I']"
"['E', 'K', 'L', 'N']"
"['B', 'G', 'J', 'O']"
"['B', 'I', 'K', 'L']"
"['C', 'D', 'F', 'Q']"
"['B', 'K', 'M', 'N']"
"['H', 'L', 'P', 'Q']"
"['I', 'M', 'N', 'O']"
"['A', 'B', 'F', 'I']"
"['F', 'G', 'H', 'J']"
"['B', 'F', 'O', 'P']"
"['D', 'G', 'K', 'P']"
"['J', 'L', 'M', 'Q']"
"['E', 'G', 'H', 'K']"
"['A', 'E', 'F', 'M']"
"['B', 'F', 'I', 'N']"
"['A', 'D', 'H', 'L']"
"['G', 'N', 'P', 'Q']"
"['C', 'F', 'H', 'P']"
"['B', 'E', 'L', 'O']"
"['C', 'E', 'H', 'K']"
"['E', 'G', 'H', 'L']"
"['B', 'F', 'G', 'H']"
"['C', 'D', 'M', 'P']"
"['B', 'C', 'I', 'K']"
"['D', 'E', 'J', 'Q']"
"['H', 'K', 'O', 'Q']"
"['B', 'J', 'P', 'Q']"
"['F', 'G', 'I', 'O']"
"['A', 'B', 'D', 'N']"
"['A', 'M', 'O', 'P']"
"['C', 'D', 'I', 'M']"
"['C', 'J', 'L', 'N']"
"['E', 'H', 'K', 'L']"
"['B', 'C', 'D', 'G']"
"['C', 'I', 'M', 'N']"
"['B', 'C', 'D', 'P']"
"['A', 'E', 'J', 'N']"
"['A', 'G', 'L', 'M']"
"['A', 'F', 'J', 'P']"
"['E', 'G', 'I', 'L']"
"['I', 'K', 'M', 'O']"
"['D', 'I', 'N', 'P']"
"['I', 'J', 'L', 'Q']"
"['A', 'F', 'H', 'J']"
"['G', 'M', 'N', 'O']"
"['J', 'K', 'P', 'Q']"
"['A', 'B', 'M', 'N']"
"['A', 'B', 'F', 'L']"
"['D', 'I', 'M', 'N']"
"['F', 'H', 'P', 'Q']"
"['E', 'H', 'M', 'O']"
"['F', 'H', 'K', 'N']"
"['B', 'C', 'O', 'P']"
"['G', 'L', 'M', 'O']"
"['C', 'H', 'O', 'Q']"
"['A', 'C', 'L', 'P']"
"['E', 'M', 'N', 'Q']"
"['F', 'I', 'K', 'P']"
"['E', 'I', 'O', 'P']"
"['L', 'N', 'O', 'P']"
"['F', 'G', 'K', 'M']"
"['G', 'H', 'N', 'Q']"
"['C', 'E', 'K', 'P']"
"['A', 'D', 'H', 'Q']"
"['H', 'K', 'L', 'P']"
"['B', 'C', 'K', 'N']"
"['F', 'G', 'J', 'L']"
"['D', 'J', 'K', 'Q']"
"['A', 'B', 'C', 'P']"
"['A', 'B', 'C', 'L']"
"['E', 'I', 'J', 'N']"
"['C', 'E', 'N', 'O']"
"['E', 'J', 'K', 'O']"
"['D', 'E', 'H', 'I']"
"['C', 'I', 'L', 'O']"
"['G', 'H', 'J', 'K']"
"['A', 'D', 'N', 'O']"
"['G', 'L', 'M', 'P']"
"['A', 'C', 'H', 'N']"
"['D', 'M', 'O', 'Q']"
"['C', 'D', 'E', 'P']"
"['J', 'K', 'M', 'Q']"
"['C', 'E', 'L', 'P']"
"['A', 'L', 'N', 'P']"
"['C', 'G', 'K', 'L']"
"['H', 'M', 'P', 'Q']"
"['C', 'G', 'H', 'M']"
"['C', 'H', 'K', 'P']"
"['H', 'I', 'J', 'Q']"
"['F', 'J', 'K', 'Q']"
"['A', 'H', 'I', 'L']"
"['C', 'K', 'L', 'M']"
"['A', 'B', 'G', 'N']"
"['C', 'K', 'O', 'Q']"
"['A', 'H', 'K', 'P']"
"['E', 'H', 'K', 'Q']"
"['A', 'G', 'K', 'M']"
"['E', 'F', 'M', 'P']"
"['C', 'M', 'O', 'P']"
"['F', 'H', 'L', 'N']"
"['C', 'F', 'G', 'I']"
"['D', 'H', 'J', 'P']"
"['C', 'H', 'I', 'Q']"
"['D', 'E', 'K', 'Q']"
"['A', 'G', 'K', 'N']"
"['A', 'B', 'C', 'E']"
"['B', 'G', 'M', 'Q']"
"['E', 'F', 'K', 'M']"
"['D', 'E', 'M', 'P']"
"['B', 'C', 'L', 'Q']"
"['B', 'H', 'O', 'P']"
"['C', 'E', 'P', 'Q']"
"['I', 'J', 'K', 'N']"
"['A', 'D', 'G', 'N']"
"['A', 'B', 'E', 'K']"
"['C', 'L', 'N', 'P']"
"['G', 'H', 'J', 'Q']"
"['C', 'E', 'N', 'P']"
"['A', 'H', 'O', 'Q']"
"['B', 'E', 'I', 'N']"
"['A', 'C', 'E', 'H']"
"['D', 'E', 'L', 'Q']"
"['B', 'J', 'M', 'P']"
"['C', 'K', 'L', 'P']"
"['A', 'D', 'H', 'K']"
"['A', 'J', 'M', 'P']"
"['B', 'G', 'H', 'M']"
"['B', 'J', 'K', 'N']"
"['C', 'E', 'J', 'K']"
"['F', 'K', 'N', 'O']"
"['C', 'G', 'H', 'P']"
"['E', 'J', 'M', 'N']"
"['A', 'J', 'L', 'M']"
"['E', 'I', 'P', 'Q']"
"['F', 'I', 'K', 'N']"
"['E', 'F', 'H', 'J']"
"['F', 'J', 'M', 'N']"
"['D', 'F', 'H', 'K']"
"['J', 'K', 'L', 'M']"
"['F', 'J', 'N', 'Q']"
"['B', 'C', 'I', 'O']"
"['B', 'I', 'K', 'M']"
"['A', 'E', 'M', 'P']"
"['H', 'I', 'N', 'P']"
"['H', 'J', 'M', 'Q']"
"['B', 'I', 'L', 'M']"
"['F', 'G', 'J', 'M']"
"['C', 'H', 'L', 'N']"
"['D', 'I', 'L', 'Q']"
"['D', 'L', 'M', 'N']"
"['A', 'K', 'N', 'Q']"
"['A', 'I', 'J', 'P']"
"['C', 'F', 'G', 'P']"
"['D', 'F', 'J', 'M']"
"['B', 'C', 'F', 'I']"
"['A', 'B', 'D', 'Q']"
"['D', 'H', 'L', 'O']"
"['B', 'C', 'F', 'M']"
"['C', 'F', 'O', 'Q']"
"['B', 'F', 'I', 'K']"
"['B', 'J', 'M', 'O']"
"['E', 'J', 'L', 'Q']"
"['A', 'E', 'H', 'L']"
"['A', 'B', 'G', 'M']"
"['B', 'C', 'D', 'M']"
"['D', 'K', 'M', 'Q']"
"['D', 'L', 'P', 'Q']"
"['D', 'E', 'G', 'M']"
"['A', 'C', 'D', 'H']"
"['A', 'L', 'P', 'Q']"
"['B', 'F', 'H', 'M']"
"['A', 'B', 'C', 'K']"
"['B', 'M', 'O', 'Q']"
"['A', 'D', 'H', 'N']"
"['A', 'B', 'G', 'Q']"
"['B', 'E', 'G', 'M']"
"['A', 'F', 'L', 'O']"
"['A', 'G', 'N', 'Q']"
"['A', 'H', 'I', 'N']"
"['G', 'J', 'L', 'M']"
"['D', 'G', 'H', 'L']"
"['D', 'G', 'J', 'M']"
"['B', 'E', 'G', 'J']"
"['A', 'M', 'N', 'Q']"
"['A', 'G', 'I', 'M']"
"['C', 'H', 'I', 'K']"
"['A', 'C', 'D', 'Q']"
"['C', 'I', 'K', 'P']"
"['A', 'F', 'G', 'H']"
"['B', 'E', 'I', 'J']"
"['C', 'D', 'J', 'M']"
"['H', 'J', 'N', 'Q']"
"['H', 'L', 'N', 'P']"
"['A', 'E', 'L', 'N']"
"['A', 'G', 'L', 'P']"
"['H', 'I', 'K', 'P']"
"['A', 'G', 'K', 'Q']"
"['C', 'K', 'M', 'N']"
"['E', 'J', 'P', 'Q']"
"['A', 'C', 'H', 'O']"
"['I', 'L', 'M', 'N']"
"['F', 'J', 'K', 'L']"
"['I', 'L', 'M', 'P']"
"['A', 'H', 'N', 'O']"
"['C', 'H', 'M', 'O']"
"['H', 'M', 'N', 'Q']"
"['D', 'E', 'F', 'K']"
"['A', 'D', 'E', 'J']"
"['B', 'C', 'J', 'K']"
"['D', 'E', 'P', 'Q']"
"['D', 'F', 'H', 'J']"
"['G', 'J', 'L', 'N']"
"['A', 'E', 'K', 'M']"
"['B', 'K', 'M', 'P']"
"['G', 'K', 'N', 'Q']"
"['A', 'B', 'H', 'J']"
"['B', 'H', 'L', 'Q']"
"['J', 'K', 'N', 'Q']"
"['C', 'H', 'J', 'M']"
"['A', 'J', 'K', 'N']"
"['A', 'J', 'K', 'O']"
"['B', 'F', 'H', 'N']"
"['A', 'F', 'G', 'N']"
"['F', 'H', 'N', 'O']"
"['D', 'G', 'L', 'M']"
"['C', 'E', 'H', 'J']"
"['A', 'F', 'G', 'J']"
"['E', 'F', 'G', 'I']"
"['J', 'M', 'O', 'Q']"
"['E', 'J', 'K', 'L']"
"['C', 'J', 'P', 'Q']"
"['H', 'I', 'J', 'L']"
"['A', 'B', 'C', 'D']"
"['D', 'G', 'K', 'L']"
"['A', 'E', 'L', 'M']"
"['D', 'G', 'H', 'K']"
"['A', 'C', 'M', 'Q']"
"['E', 'H', 'M', 'P']"
"['C', 'J', 'N', 'O']"
"['B', 'D', 'I', 'Q']"
"['A', 'D', 'K', 'Q']"
"['F', 'L', 'M', 'Q']"
"['B', 'D', 'J', 'L']"
"['C', 'D', 'F', 'K']"
"['F', 'H', 'I', 'K']"
"['D', 'E', 'H', 'Q']"
"['G', 'H', 'K', 'L']"
"['E', 'G', 'O', 'Q']"
"['D', 'J', 'M', 'Q']"
"['C', 'J', 'L', 'O']"
"['F', 'H', 'L', 'M']"
"['G', 'L', 'O', 'P']"
"['A', 'B', 'N', 'O']"
"['A', 'H', 'M', 'O']"
"['B', 'G', 'M', 'N']"
"['G', 'K', 'M', 'N']"
"['A', 'G', 'J', 'N']"
"['B', 'H', 'M', 'N']"
"['A', 'L', 'O', 'P']"
"['B', 'F', 'G', 'J']"
"['B', 'I', 'M', 'Q']"
"['C', 'G', 'J', 'K']"
"['B', 'D', 'G', 'H']"
"['B', 'K', 'L', 'Q']"
"['D', 'E', 'F', 'M']"
"['C', 'K', 'L', 'N']"
"['E', 'G', 'K', 'P']"
"['D', 'E', 'O', 'Q']"
"['C', 'D', 'P', 'Q']"
"['C', 'E', 'I', 'L']"
"['D', 'E', 'F', 'G']"
"['G', 'H', 'I', 'N']"
"['A', 'E', 'H', 'N']"
"['J', 'L', 'M', 'N']"
"['D', 'E', 'L', 'N']"
"['G', 'H', 'M', 'P']"
"['A', 'F', 'N', 'P']"
"['A', 'D', 'G', 'H']"
"['B', 'D', 'F', 'O']"
"['D', 'E', 'G', 'L']"
"['B', 'E', 'J', 'P']"
"['F', 'G', 'I', 'N']"
"['E', 'F', 'G', 'J']"
"['F', 'H', 'N', 'Q']"
"['E', 'L', 'M', 'O']"
"['E', 'G', 'O', 'P']"
"['D', 'F', 'G', 'K']"
"['A', 'I', 'L', 'O']"
"['K', 'L', 'M', 'N']"
"['D', 'F', 'J', 'P']"
"['F', 'J', 'K', 'N']"
"['B', 'L', 'M', 'O']"
"['F', 'G', 'L', 'P']"
"['A', 'I', 'K', 'M']"
"['D', 'E', 'J', 'N']"
"['F', 'G', 'J', 'N']"
"['A', 'D', 'F', 'H']"
"['G', 'I', 'K', 'L']"
"['B', 'H', 'I', 'K']"
"['J', 'N', 'O', 'P']"
"['D', 'M', 'P', 'Q']"
"['B', 'D', 'M', 'Q']"
"['C', 'N', 'P', 'Q']"
"['B', 'C', 'G', 'N']"
"['B', 'D', 'I', 'J']"
"['E', 'J', 'N', 'O']"
"['B', 'D', 'E', 'O']"
"['A', 'E', 'F', 'J']"
"['A', 'B', 'K', 'L']"
"['A', 'H', 'K', 'N']"
"['F', 'M', 'N', 'O']"
"['L', 'N', 'O', 'Q']"
"['E', 'L', 'M', 'Q']"
"['C', 'F', 'N', 'P']"
"['C', 'K', 'M', 'Q']"
"['G', 'I', 'K', 'M']"
"['B', 'C', 'H', 'Q']"
"['F', 'H', 'J', 'O']"
"['I', 'K', 'M', 'N']"
"['D', 'F', 'I', 'N']"
"['D', 'E', 'I', 'K']"
"['G', 'J', 'K', 'N']"
"['E', 'M', 'O', 'P']"
"['H', 'I', 'O', 'P']"
"['I', 'K', 'L', 'Q']"
"['B', 'F', 'J', 'O']"
"['B', 'C', 'K', 'P']"
"['E', 'I', 'O', 'Q']"
"['B', 'D', 'F', 'N']"
"['C', 'J', 'N', 'P']"
"['A', 'K', 'L', 'N']"
"['K', 'M', 'N', 'O']"
