items
"['C', 'E', 'H', 'I', 'K']"
"['C', 'L', 'O', 'P', 'Q']"
"['A', 'M', 'N', 'O', 'Q']"
"['A', 'D', 'I', 'P', 'Q']"
"['A', 'J', 'L', 'O', 'Q']"
"['F', 'G', 'H', 'P', 'Q']"
"['D', 'F', 'L', 'M', 'P']"
"['A', 'G', 'J', 'M', 'N']"
"['E', 'J', 'L', 'N', 'P']"
"['A', 'E', 'H', 'L', 'N']"
"['B', 'F', 'J', 'K', 'L']"
"['B', 'J', 'L', 'M', 'P']"
"['A', 'B', 'C', 'K', 'P']"
"['C', 'D', 'E', 'J', 'N']"
"['B', 'C', 'F', 'I', 'O']"
"['G', 'H', 'J', 'N', 'P']"
"['D', 'J', 'L', 'M', 'N']"
"['A', 'G', 'H', 'L', 'O']"
"['B', 'D', 'E', 'I', 'L']"
"['C', 'E', 'K', 'L', 'O']"
"['C', 'F', 'J', 'M', 'N']"
"['D', 'F', 'N', 'O', 'P']"
"['E', 'F', 'J', 'L', 'O']"
"['A', 'D', 'F', 'L', 'P']"
"['E', 'I', 'J', 'O', 'Q']"
"['D', 'I', 'K', 'M', 'Q']"
"['A', 'D', 'E', 'I', 'J']"
"['E', 'F', 'H', 'I', 'P']"
"['C', 'G', 'J', 'K', 'M']"
"['E', 'G', 'I', 'K', 'L']"
"['E', 'L', 'M', 'O', 'P']"
"['A', 'B', 'D', 'F', 'H']"
"['M', 'N', 'O', 'P', 'Q']"
"['D', 'I', 'M', 'N', 'O']"
"['D', 'E', 'G', 'J', 'Q']"
"['F', 'G', 'I', 'N', 'P']"
"['C', 'E', 'J', 'O', 'P']"
"['D', 'G', 'L', 'N', 'P']"
"['A', 'B', 'F', 'K', 'L']"
"['A', 'C', 'H', 'M', 'P']"
"['J', 'M', 'O', 'P', 'Q']"
"['D', 'I', 'M', 'N', 'Q']"
"['C', 'G', 'N', 'P', 'Q']"
"['D', 'E', 'G', 'K', 'Q']"
"['D', 'F', 'L', 'M', 'Q']"
"['A', 'D', 'L', 'O', 'Q']"
"['C', 'G', 'I', 'N', 'Q']"
"['D', 'E', 'F', 'J', 'O']"
"['A', 'F', 'J', 'L', 'Q']"
"['C', 'E', 'F', 'L', 'N']"
"['A', 'B', 'F', 'G', 'M']"
"['G', 'H', 'I', 'L', 'P']"
"['C', 'E', 'L', 'O', 'P']"
"['A', 'C', 'D', 'I', 'Q']"
"['C', 'E', 'F', 'K', 'M']"
"['C', 'F', 'H', 'O', 'P']"
"['C', 'E', 'I', 'N', 'O']"
"['A', 'D', 'M', 'O', 'P']"
"['A', 'B', 'E', 'M', 'Q']"
"['C', 'G', 'H', 'M', 'P']"
"['B', 'F', 'G', 'H', 'P']"
"['A', 'B', 'C', 'D', 'K']"
"['B', 'F', 'G', 'K', 'N']"
"['C', 'F', 'M', 'N', 'P']"
"['A', 'D', 'I', 'K', 'O']"
"['A', 'C', 'N', 'O', 'Q']"
"['E', 'F', 'H', 'J', 'K']"
"['B', 'E', 'F', 'G', 'L']"
"['A', 'E', 'J', 'N', 'Q']"
"['D', 'F', 'L', 'N', 'O']"
"['B', 'E', 'F', 'G', 'H']"
"['H', 'I', 'J', 'K', 'L']"
"['B', 'F', 'J', 'M', 'P']"
"['G', 'H', 'K', 'P', 'Q']"
"['B', 'F', 'J', 'L', 'M']"
"['D', 'E', 'H', 'K', 'M']"
"['D', 'E', 'J', 'N', 'P']"
"['E', 'F', 'N', 'P', 'Q']"
"['A', 'B', 'D', 'P', 'Q']"
"['B', 'F', 'H', 'I', 'M']"
"['A', 'C', 'E', 'F', 'P']"
"['G', 'H', 'K', 'M', 'O']"
"['F', 'G', 'I', 'O', 'Q']"
"['G', 'L', 'M', 'O', 'Q']"
"['E', 'J', 'K', 'O', 'P']"
"['A', 'I', 'L', 'M', 'N']"
"['D', 'J', 'K', 'L', 'P']"
"['B', 'D', 'E', 'F', 'K']"
"['A', 'E', 'I', 'L', 'Q']"
"['A', 'F', 'I', 'N', 'Q']"
"['E', 'G', 'M', 'P', 'Q']"
"['B', 'C', 'L', 'M', 'O']"
"['A', 'D', 'F', 'J', 'P']"
"['A', 'B', 'C', 'E', 'F']"
"['E', 'F', 'J', 'K', 'L']"
"['B', 'D', 'I', 'O', 'Q']"
"['G', 'H', 'I', 'J', 'N']"
"['D', 'E', 'G', 'J', 'M']"
"['D', 'E', 'K', 'N', 'O']"
"['F', 'G', 'O', 'P', 'Q']"
"['C', 'H', 'J', 'L', 'Q']"
"['H', 'L', 'M', 'N', 'Q']"
"['D', 'F', 'N', 'O', 'Q']"
"['C', 'D', 'G', 'N', 'Q']"
"['J', 'K', 'M', 'O', 'P']"
"['B', 'D', 'E', 'I', 'N']"
"['E', 'G', 'K', 'O', 'Q']"
"['G', 'K', 'L', 'N', 'Q']"
"['C', 'I', 'J', 'K', 'M']"
"['A', 'G', 'K', 'M', 'N']"
"['D', 'F', 'J', 'O', 'Q']"
"['A', 'I', 'J', 'K', 'N']"
"['B', 'D', 'G', 'N', 'P']"
"['A', 'B', 'F', 'K', 'O']"
"['B', 'C', 'E', 'G', 'P']"
"['B', 'D', 'F', 'H', 'M']"
"['G', 'J', 'L', 'O', 'Q']"
"['B', 'D', 'F', 'L', 'M']"
"['A', 'B', 'C', 'H', 'P']"
"['A', 'D', 'F', 'I', 'O']"
"['A', 'B', 'D', 'J', 'L']"
"['C', 'E', 'F', 'J', 'L']"
"['B', 'F', 'G', 'K', 'Q']"
"['F', 'G', 'I', 'M', 'Q']"
"['C', 'D', 'K', 'L', 'Q']"
"['A', 'C', 'D', 'G', 'I']"
"['A', 'B', 'E', 'H', 'M']"
"['E', 'H', 'J', 'K', 'N']"
"['F', 'G', 'J', 'M', 'P']"
"['B', 'C', 'F', 'J', 'P']"
"['D', 'H', 'I', 'M', 'P']"
"['A', 'D', 'E', 'K', 'N']"
"['A', 'B', 'H', 'J', 'O']"
"['J', 'M', 'N', 'P', 'Q']"
"['B', 'D', 'H', 'J', 'P']"
"['F', 'K', 'L', 'N', 'P']"
"['A', 'D', 'F', 'O', 'Q']"
"['C', 'F', 'G', 'I', 'L']"
"['B', 'C', 'E', 'H', 'O']"
"['A', 'B', 'G', 'I', 'Q']"
"['E', 'F', 'I', 'L', 'Q']"
"['B', 'C', 'G', 'M', 'N']"
"['B', 'H', 'I', 'K', 'L']"
"['E', 'H', 'I', 'K', 'M']"
"['B', 'H', 'I', 'L', 'N']"
"['A', 'C', 'F', 'I', 'L']"
"['L', 'M', 'N', 'O', 'Q']"
"['F', 'H', 'L', 'O', 'P']"
"['A', 'C', 'J', 'L', 'Q']"
"['A', 'D', 'E', 'G', 'I']"
"['A', 'C', 'D', 'G', 'O']"
"['D', 'E', 'J', 'L', 'Q']"
"['F', 'H', 'J', 'L', 'N']"
"['E', 'F', 'N', 'O', 'P']"
"['C', 'G', 'H', 'M', 'N']"
"['B', 'C', 'F', 'I', 'Q']"
"['J', 'K', 'M', 'P', 'Q']"
"['A', 'B', 'K', 'M', 'O']"
"['E', 'F', 'K', 'M', 'O']"
"['C', 'I', 'L', 'M', 'O']"
"['B', 'C', 'I', 'J', 'P']"
"['F', 'M', 'N', 'O', 'Q']"
"['A', 'C', 'I', 'L', 'O']"
"['A', 'C', 'J', 'O', 'P']"
"['E', 'I', 'K', 'L', 'P']"
"['E', 'K', 'M', 'O', 'Q']"
"['B', 'C', 'I', 'N', 'Q']"
"['C', 'D', 'I', 'N', 'O']"
"['E', 'K', 'L', 'O', 'P']"
"['A', 'D', 'J', 'L', 'Q']"
"['D', 'F', 'G', 'N', 'O']"
"['A', 'C', 'E', 'G', 'O']"
"['D', 'E', 'K', 'L', 'O']"
"['B', 'K', 'L', 'M', 'O']"
"['C', 'H', 'I', 'M', 'O']"
"['D', 'K', 'M', 'O', 'Q']"
"['B', 'C', 'I', 'L', 'N']"
"['A', 'E', 'H', 'P', 'Q']"
"['E', 'F', 'J', 'K', 'N']"
"['F', 'G', 'L', 'N', 'Q']"
"['B', 'C', 'G', 'H', 'I']"
"['C', 'F', 'I', 'J', 'P']"
"['E', 'F', 'H', 'I', 'O']"
"['C', 'F', 'I', 'N', 'Q']"
"['A', 'B', 'L', 'O', 'Q']"
"['B', 'E', 'J', 'L', 'P']"
"['D', 'I', 'K', 'M', 'N']"
"['G', 'K', 'N', 'P', 'Q']"
"['D', 'E', 'L', 'N', 'Q']"
"['A', 'F', 'M', 'P', 'Q']"
"['D', 'F', 'J', 'M', 'N']"
"['A', 'B', 'F', 'G', 'K']"
"['D', 'E', 'M', 'N', 'Q']"
"['A', 'I', 'K', 'M', 'Q']"
"['A', 'G', 'J', 'K', 'N']"
"['E', 'F', 'I', 'M', 'Q']"
"['A', 'B', 'C', 'G', 'Q']"
"['A', 'B', 'N', 'O', 'P']"
"['D', 'E', 'H', 'N', 'P']"
"['C', 'E', 'G', 'K', 'L']"
"['C', 'E', 'F', 'K', 'Q']"
"['A', 'C', 'F', 'G', 'M']"
"['B', 'J', 'K', 'N', 'O']"
"['A', 'F', 'K', 'L', 'O']"
"['A', 'F', 'I', 'O', 'P']"
"['F', 'I', 'L', 'M', 'O']"
"['B', 'G', 'I', 'L', 'O']"
"['C', 'F', 'L', 'M', 'O']"
"['B', 'G', 'J', 'M', 'P']"
"['A', 'C', 'D', 'G', 'M']"
"['D', 'E', 'G', 'H', 'L']"
"['A', 'H', 'J', 'L', 'N']"
"['A', 'F', 'H', 'M', 'N']"
"['A', 'C', 'K', 'M', 'N']"
"['C', 'E', 'F', 'G', 'N']"
"['B', 'C', 'D', 'K', 'P']"
"['C', 'I', 'K', 'N', 'Q']"
"['A', 'C', 'L', 'N', 'Q']"
"['F', 'I', 'K', 'M', 'N']"
"['C', 'E', 'M', 'N', 'P']"
"['A', 'C', 'I', 'M', 'O']"
"['C', 'F', 'I', 'P', 'Q']"
"['H', 'J', 'K', 'P', 'Q']"
"['A', 'D', 'F', 'K', 'O']"
"['I', 'K', 'N', 'O', 'P']"
"['C', 'E', 'I', 'J', 'L']"
"['A', 'J', 'K', 'M', 'N']"
"['C', 'F', 'G', 'K', 'Q']"
"['C', 'D', 'I', 'M', 'N']"
"['A', 'D', 'F', 'I', 'N']"
"['A', 'D', 'E', 'L', 'N']"
"['A', 'C', 'E', 'G', 'I']"
"['D', 'H', 'L', 'M', 'Q']"
"['F', 'J', 'K', 'N', 'O']"
"['C', 'H', 'I', 'K', 'M']"
"['E', 'H', 'M', 'O', 'Q']"
"['C', 'E', 'G', 'H', 'J']"
"['B', 'H', 'M', 'N', 'O']"
"['H', 'J', 'L', 'N', 'Q']"
"['B', 'F', 'G', 'M', 'Q']"
"['C', 'D', 'I', 'J', 'Q']"
"['B', 'D', 'K', 'M', 'Q']"
"['B', 'E', 'G', 'I', 'P']"
"['A', 'D', 'I', 'N', 'O']"
"['C', 'E', 'J', 'M', 'N']"
"['A', 'F', 'G', 'H', 'M']"
"['A', 'C', 'E', 'P', 'Q']"
"['A', 'L', 'M', 'N', 'O']"
"['D', 'F', 'G', 'J', 'N']"
"['A', 'E', 'G', 'I', 'J']"
"['D', 'E', 'H', 'K', 'O']"
"['B', 'F', 'H', 'M', 'Q']"
"['B', 'C', 'D', 'F', 'G']"
"['C', 'G', 'H', 'I', 'N']"
"['B', 'C', 'H', 'O', 'P']"
"['C', 'D', 'F', 'J', 'K']"
"['A', 'E', 'F', 'H', 'J']"
"['A', 'C', 'D', 'E', 'Q']"
"['C', 'I', 'L', 'N', 'Q']"
"['B', 'C', 'M', 'O', 'Q']"
"['E', 'F', 'G', 'O', 'P']"
"['E', 'F', 'G', 'N', 'Q']"
"['A', 'D', 'E', 'O', 'Q']"
"['E', 'F', 'H', 'J', 'M']"
"['A', 'C', 'I', 'O', 'Q']"
"['B', 'C', 'D', 'M', 'P']"
"['C', 'D', 'J', 'N', 'O']"
"['A', 'G', 'H', 'J', 'P']"
"['B', 'G', 'I', 'P', 'Q']"
"['C', 'G', 'J', 'L', 'N']"
"['A', 'F', 'I', 'K', 'L']"
"['A', 'E', 'G', 'N', 'O']"
"['H', 'J', 'K', 'M', 'N']"
"['A', 'C', 'E', 'H', 'K']"
"['B', 'F', 'J', 'L', 'P']"
"['B', 'D', 'F', 'I', 'Q']"
"['E', 'G', 'I', 'N', 'Q']"
"['F', 'G', 'H', 'I', 'P']"
"['A', 'B', 'K', 'L', 'N']"
"['E', 'I', 'J', 'K', 'P']"
"['A', 'E', 'G', 'L', 'Q']"
"['B', 'F', 'G', 'H', 'K']"
"['F', 'G', 'M', 'N', 'O']"
"['D', 'F', 'J', 'K', 'O']"
"['B', 'F', 'H', 'I', 'Q']"
"['C', 'F', 'I', 'K', 'P']"
"['D', 'G', 'I', 'N', 'O']"
"['B', 'G', 'H', 'M', 'P']"
"['A', 'B', 'C', 'F', 'I']"
"['C', 'G', 'J', 'L', 'M']"
"['F', 'I', 'J', 'K', 'P']"
"['A', 'B', 'I', 'K', 'O']"
"['A', 'E', 'F', 'G', 'K']"
"['E', 'G', 'K', 'M', 'N']"
"['C', 'F', 'L', 'P', 'Q']"
"['A', 'B', 'J', 'L', 'Q']"
"['C', 'D', 'E', 'I', 'O']"
"['A', 'D', 'I', 'O', 'P']"
"['A', 'H', 'L', 'N', 'Q']"
"['A', 'B', 'H', 'N', 'Q']"
"['A', 'B', 'E', 'F', 'G']"
"['A', 'B', 'F', 'I', 'O']"
"['C', 'D', 'L', 'M', 'N']"
"['E', 'J', 'O', 'P', 'Q']"
"['B', 'E', 'I', 'K', 'L']"
"['G', 'I', 'J', 'L', 'O']"
"['E', 'J', 'K', 'N', 'O']"
"['A', 'H', 'L', 'M', 'N']"
"['D', 'I', 'K', 'L', 'Q']"
"['B', 'E', 'K', 'L', 'Q']"
"['G', 'H', 'J', 'K', 'O']"
"['C', 'D', 'H', 'I', 'M']"
"['H', 'J', 'K', 'N', 'P']"
"['I', 'J', 'M', 'O', 'Q']"
"['A', 'E', 'F', 'M', 'N']"
"['B', 'C', 'E', 'I', 'N']"
"['D', 'E', 'H', 'J', 'P']"
"['A', 'B', 'H', 'N', 'O']"
"['H', 'J', 'K', 'L', 'O']"
"['G', 'H', 'K', 'N', 'P']"
"['A', 'H', 'J', 'N', 'O']"
"['A', 'B', 'J', 'N', 'P']"
"['A', 'C', 'D', 'M', 'P']"
"['A', 'E', 'H', 'M', 'Q']"
"['D', 'E', 'G', 'M', 'Q']"
"['D', 'F', 'H', 'N', 'P']"
"['C', 'G', 'I', 'J', 'O']"
"['E', 'F', 'L', 'M', 'N']"
"['B', 'F', 'G', 'L', 'Q']"
"['E', 'I', 'O', 'P', 'Q']"
"['A', 'B', 'H', 'K', 'O']"
"['B', 'D', 'K', 'L', 'N']"
"['E', 'F', 'G', 'O', 'Q']"
"['D', 'E', 'F', 'K', 'O']"
"['B', 'H', 'J', 'M', 'N']"
"['D', 'H', 'J', 'K', 'N']"
"['A', 'B', 'C', 'E', 'N']"
"['B', 'D', 'F', 'J', 'N']"
"['E', 'H', 'I', 'O', 'Q']"
"['E', 'H', 'L', 'N', 'O']"
"['B', 'I', 'M', 'O', 'P']"
"['F', 'J', 'K', 'O', 'P']"
"['F', 'G', 'H', 'N', 'Q']"
"['A', 'G', 'I', 'K', 'O']"
"['A', 'F', 'H', 'N', 'O']"
"['B', 'G', 'H', 'I', 'L']"
"['E', 'F', 'J', 'M', 'O']"
"['B', 'D', 'I', 'K', 'N']"
"['C', 'D', 'G', 'I', 'O']"
"['A', 'D', 'I', 'L', 'O']"
"['E', 'I', 'N', 'P', 'Q']"
"['B', 'E', 'F', 'I', 'N']"
"['I', 'J', 'K', 'M', 'Q']"
"['A', 'H', 'M', 'N', 'P']"
"['A', 'D', 'H', 'K', 'N']"
"['G', 'H', 'L', 'O', 'P']"
"['E', 'F', 'H', 'N', 'O']"
"['G', 'I', 'L', 'N', 'Q']"
"['B', 'C', 'H', 'K', 'P']"
"['C', 'G', 'H', 'I', 'L']"
"['C', 'D', 'E', 'J', 'Q']"
"['B', 'I', 'K', 'M', 'P']"
"['D', 'G', 'J', 'M', 'P']"
"['E', 'F', 'G', 'H', 'I']"
"['E', 'I', 'M', 'N', 'P']"
"['B', 'E', 'I', 'J', 'P']"
"['E', 'H', 'I', 'N', 'P']"
"['E', 'H', 'K', 'N', 'O']"
"['E', 'H', 'J', 'L', 'P']"
"['C', 'D', 'F', 'G', 'N']"
"['B', 'C', 'D', 'E', 'N']"
"['C', 'D', 'J', 'L', 'O']"
"['A', 'D', 'G', 'I', 'N']"
"['A', 'I', 'K', 'L', 'M']"
"['D', 'F', 'L', 'M', 'N']"
"['A', 'C', 'F', 'J', 'Q']"
"['A', 'I', 'J', 'N', 'O']"
"['B', 'C', 'H', 'N', 'Q']"
"['C', 'G', 'H', 'K', 'N']"
"['H', 'I', 'J', 'O', 'P']"
"['A', 'C', 'I', 'K', 'P']"
"['A', 'J', 'N', 'O', 'P']"
"['D', 'G', 'I', 'K', 'L']"
"['A', 'F', 'I', 'O', 'Q']"
"['A', 'H', 'J', 'M', 'N']"
"['A', 'D', 'I', 'J', 'K']"
"['B', 'E', 'H', 'L', 'N']"
"['B', 'E', 'F', 'G', 'J']"
"['C', 'F', 'G', 'I', 'J']"
"['F', 'G', 'I', 'J', 'Q']"
"['D', 'J', 'K', 'M', 'O']"
"['B', 'D', 'E', 'L', 'N']"
"['B', 'E', 'F', 'G', 'I']"
"['B', 'C', 'G', 'J', 'K']"
"['B', 'E', 'F', 'K', 'L']"
"['A', 'B', 'C', 'J', 'M']"
"['A', 'B', 'E', 'H', 'I']"
"['A', 'B', 'C', 'F', 'L']"
"['D', 'H', 'N', 'O', 'P']"
"['A', 'I', 'J', 'K', 'O']"
"['B', 'F', 'H', 'K', 'N']"
"['E', 'I', 'K', 'O', 'P']"
"['A', 'C', 'F', 'H', 'M']"
"['A', 'C', 'D', 'F', 'G']"
"['B', 'F', 'H', 'J', 'L']"
"['F', 'G', 'H', 'J', 'M']"
"['F', 'J', 'L', 'N', 'Q']"
"['D', 'E', 'G', 'M', 'P']"
"['D', 'E', 'I', 'L', 'N']"
"['D', 'I', 'L', 'P', 'Q']"
"['A', 'F', 'H', 'I', 'K']"
"['A', 'B', 'G', 'N', 'Q']"
"['B', 'E', 'F', 'O', 'P']"
"['C', 'F', 'H', 'M', 'Q']"
"['A', 'C', 'E', 'F', 'J']"
"['E', 'H', 'K', 'N', 'P']"
"['B', 'D', 'G', 'K', 'Q']"
"['A', 'C', 'G', 'K', 'O']"
"['A', 'D', 'H', 'J', 'O']"
"['E', 'F', 'G', 'M', 'P']"
"['B', 'C', 'D', 'G', 'I']"
"['F', 'H', 'M', 'O', 'Q']"
"['B', 'I', 'L', 'O', 'Q']"
"['A', 'H', 'I', 'M', 'N']"
"['A', 'C', 'F', 'N', 'Q']"
"['G', 'I', 'K', 'P', 'Q']"
"['B', 'E', 'H', 'I', 'M']"
"['E', 'I', 'K', 'N', 'O']"
"['A', 'H', 'N', 'O', 'Q']"
"['B', 'C', 'E', 'F', 'K']"
"['A', 'D', 'J', 'K', 'M']"
"['B', 'K', 'M', 'O', 'P']"
"['A', 'C', 'E', 'I', 'O']"
"['E', 'F', 'L', 'N', 'Q']"
"['B', 'I', 'K', 'L', 'N']"
"['C', 'J', 'M', 'O', 'Q']"
"['E', 'G', 'H', 'K', 'P']"
"['G', 'K', 'L', 'M', 'P']"
"['D', 'I', 'J', 'M', 'N']"
"['B', 'E', 'J', 'L', 'N']"
"['G', 'J', 'M', 'N', 'P']"
"['B', 'G', 'H', 'M', 'O']"
"['B', 'J', 'N', 'O', 'P']"
"['B', 'F', 'G', 'O', 'Q']"
"['A', 'C', 'J', 'L', 'P']"
"['E', 'I', 'J', 'P', 'Q']"
"['D', 'G', 'K', 'N', 'Q']"
"['D', 'I', 'J', 'K', 'L']"
"['G', 'H', 'K', 'L', 'P']"
"['B', 'C', 'F', 'H', 'P']"
"['B', 'D', 'H', 'K', 'M']"
"['A', 'C', 'H', 'I', 'L']"
"['B', 'F', 'J', 'K', 'Q']"
"['C', 'G', 'I', 'L', 'N']"
"['D', 'F', 'L', 'O', 'Q']"
"['C', 'H', 'L', 'M', 'N']"
"['F', 'H', 'I', 'J', 'M']"
"['A', 'D', 'H', 'N', 'Q']"
"['D', 'G', 'J', 'N', 'P']"
"['A', 'C', 'J', 'K', 'L']"
"['C', 'F', 'I', 'L', 'M']"
"['A', 'C', 'E', 'L', 'N']"
"['B', 'C', 'F', 'L', 'M']"
"['F', 'G', 'J', 'K', 'M']"
"['D', 'F', 'G', 'H', 'J']"
"['B', 'E', 'F', 'K', 'P']"
"['B', 'F', 'G', 'L', 'N']"
"['D', 'H', 'I', 'L', 'Q']"
"['C', 'D', 'I', 'K', 'M']"
"['B', 'F', 'G', 'H', 'M']"
"['C', 'D', 'E', 'K', 'N']"
"['B', 'D', 'F', 'G', 'I']"
"['E', 'F', 'I', 'J', 'N']"
"['B', 'F', 'N', 'P', 'Q']"
"['A', 'B', 'K', 'O', 'Q']"
"['A', 'D', 'I', 'M', 'O']"
"['D', 'E', 'F', 'K', 'N']"
"['B', 'L', 'O', 'P', 'Q']"
"['B', 'E', 'F', 'M', 'O']"
"['A', 'B', 'C', 'G', 'O']"
"['E', 'I', 'J', 'M', 'Q']"
"['B', 'E', 'G', 'L', 'M']"
"['B', 'D', 'E', 'G', 'Q']"
"['A', 'E', 'L', 'O', 'Q']"
"['C', 'J', 'L', 'N', 'P']"
"['C', 'G', 'I', 'O', 'Q']"
"['A', 'D', 'E', 'N', 'P']"
"['A', 'B', 'F', 'H', 'K']"
"['D', 'G', 'I', 'J', 'L']"
"['D', 'H', 'J', 'K', 'L']"
"['G', 'H', 'J', 'K', 'Q']"
"['A', 'D', 'K', 'M', 'P']"
"['A', 'E', 'G', 'K', 'M']"
"['A', 'E', 'F', 'L', 'O']"
"['D', 'H', 'J', 'K', 'P']"
"['A', 'B', 'E', 'F', 'O']"
"['E', 'G', 'H', 'I', 'N']"
"['C', 'F', 'I', 'L', 'O']"
"['B', 'E', 'H', 'J', 'L']"
"['E', 'I', 'K', 'L', 'O']"
"['B', 'C', 'D', 'J', 'P']"
"['C', 'F', 'G', 'L', 'O']"
"['B', 'D', 'K', 'N', 'O']"
"['D', 'E', 'F', 'J', 'M']"
"['B', 'C', 'E', 'K', 'P']"
"['E', 'J', 'L', 'P', 'Q']"
"['A', 'D', 'O', 'P', 'Q']"
"['B', 'F', 'K', 'M', 'Q']"
"['A', 'K', 'M', 'N', 'O']"
"['A', 'C', 'F', 'M', 'N']"
"['E', 'H', 'I', 'O', 'P']"
"['C', 'G', 'K', 'M', 'N']"
"['A', 'C', 'D', 'G', 'H']"
"['E', 'G', 'J', 'L', 'M']"
"['A', 'F', 'H', 'I', 'L']"
"['D', 'I', 'J', 'K', 'P']"
"['B', 'E', 'F', 'H', 'M']"
"['I', 'J', 'N', 'O', 'Q']"
"['B', 'E', 'G', 'N', 'O']"
"['B', 'D', 'H', 'N', 'Q']"
"['D', 'F', 'L', 'N', 'Q']"
"['D', 'G', 'H', 'M', 'N']"
"['C', 'D', 'E', 'J', 'K']"
"['B', 'D', 'E', 'L', 'O']"
"['B', 'F', 'M', 'O', 'P']"
"['B', 'C', 'I', 'M', 'N']"
"['A', 'E', 'J', 'L', 'N']"
"['C', 'F', 'H', 'K', 'Q']"
"['B', 'C', 'F', 'J', 'M']"
"['B', 'C', 'H', 'J', 'L']"
"['H', 'I', 'L', 'M', 'N']"
"['F', 'G', 'J', 'K', 'N']"
"['B', 'C', 'L', 'M', 'N']"
"['A', 'D', 'F', 'H', 'P']"
"['D', 'G', 'I', 'L', 'O']"
"['A', 'G', 'I', 'J', 'P']"
"['F', 'H', 'J', 'M', 'N']"
"['B', 'I', 'J', 'P', 'Q']"
"['B', 'D', 'E', 'F', 'J']"
"['B', 'C', 'E', 'K', 'M']"
"['D', 'E', 'F', 'L', 'N']"
"['D', 'K', 'N', 'O', 'P']"
"['B', 'D', 'F', 'H', 'O']"
"['C', 'H', 'K', 'P', 'Q']"
"['A', 'E', 'H', 'M', 'O']"
"['C', 'F', 'G', 'N', 'P']"
"['A', 'F', 'H', 'J', 'M']"
"['A', 'D', 'K', 'M', 'N']"
"['B', 'E', 'I', 'L', 'P']"
"['B', 'G', 'J', 'K', 'M']"
"['C', 'D', 'F', 'N', 'Q']"
"['D', 'E', 'J', 'K', 'O']"
"['A', 'L', 'M', 'O', 'P']"
"['D', 'F', 'G', 'J', 'O']"
"['G', 'L', 'M', 'N', 'P']"
"['B', 'C', 'K', 'P', 'Q']"
"['G', 'H', 'I', 'L', 'O']"
"['B', 'F', 'I', 'M', 'O']"
"['C', 'G', 'I', 'L', 'P']"
"['A', 'B', 'K', 'L', 'M']"
"['C', 'D', 'E', 'O', 'P']"
"['A', 'B', 'D', 'E', 'O']"
"['F', 'I', 'J', 'L', 'Q']"
"['A', 'B', 'H', 'J', 'M']"
"['G', 'H', 'L', 'M', 'P']"
"['C', 'D', 'I', 'P', 'Q']"
"['A', 'F', 'H', 'I', 'O']"
"['C', 'E', 'H', 'I', 'P']"
"['A', 'D', 'H', 'I', 'O']"
"['A', 'G', 'K', 'L', 'M']"
"['D', 'G', 'H', 'I', 'P']"
"['C', 'D', 'I', 'L', 'Q']"
"['D', 'L', 'M', 'N', 'P']"
"['B', 'G', 'J', 'O', 'Q']"
"['C', 'E', 'G', 'M', 'N']"
"['C', 'D', 'F', 'J', 'N']"
"['D', 'F', 'J', 'L', 'O']"
"['D', 'F', 'J', 'P', 'Q']"
"['A', 'E', 'G', 'L', 'O']"
"['A', 'B', 'F', 'L', 'P']"
"['C', 'F', 'G', 'K', 'N']"
"['B', 'D', 'E', 'M', 'P']"
"['A', 'D', 'G', 'N', 'P']"
"['B', 'F', 'G', 'J', 'O']"
"['A', 'G', 'H', 'J', 'K']"
"['C', 'E', 'K', 'M', 'P']"
"['E', 'F', 'G', 'I', 'Q']"
"['D', 'E', 'I', 'K', 'L']"
"['D', 'J', 'L', 'N', 'P']"
"['F', 'J', 'K', 'L', 'P']"
"['B', 'C', 'K', 'O', 'Q']"
"['A', 'B', 'G', 'L', 'P']"
"['A', 'F', 'H', 'K', 'L']"
"['D', 'F', 'K', 'P', 'Q']"
"['C', 'F', 'G', 'L', 'P']"
"['C', 'H', 'K', 'N', 'Q']"
"['B', 'D', 'O', 'P', 'Q']"
"['A', 'B', 'H', 'O', 'Q']"
"['C', 'F', 'K', 'M', 'N']"
"['A', 'C', 'D', 'F', 'J']"
"['F', 'I', 'K', 'P', 'Q']"
"['A', 'B', 'L', 'M', 'Q']"
"['B', 'I', 'K', 'O', 'Q']"
"['B', 'F', 'L', 'N', 'Q']"
"['A', 'B', 'F', 'H', 'P']"
"['C', 'N', 'O', 'P', 'Q']"
"['E', 'I', 'K', 'L', 'Q']"
"['I', 'J', 'L', 'M', 'O']"
"['F', 'G', 'I', 'K', 'P']"
"['A', 'D', 'F', 'I', 'K']"
"['C', 'E', 'J', 'L', 'P']"
"['B', 'I', 'J', 'L', 'M']"
"['G', 'H', 'J', 'L', 'O']"
"['D', 'E', 'H', 'P', 'Q']"
"['I', 'J', 'K', 'N', 'Q']"
"['B', 'D', 'F', 'J', 'P']"
"['B', 'D', 'K', 'P', 'Q']"
"['G', 'J', 'L', 'N', 'Q']"
"['A', 'E', 'G', 'I', 'P']"
"['A', 'B', 'H', 'N', 'P']"
"['D', 'G', 'N', 'O', 'P']"
"['C', 'F', 'H', 'M', 'O']"
"['A', 'C', 'D', 'J', 'K']"
"['A', 'C', 'E', 'J', 'M']"
"['F', 'G', 'I', 'J', 'L']"
"['A', 'F', 'M', 'N', 'Q']"
"['A', 'C', 'H', 'O', 'P']"
"['A', 'C', 'E', 'F', 'L']"
